Time(min),AmbientT(C),PowerIn(W),TankT1(C),TankT2(C),TankT3(C),TankT4(C),TankT5(C),TankT6(C),InletT(C),OutletT(C),FlowRate(gal/min)
681,20.3,1.6499999999999997,47.8,51.3,51.8,51.8,52.0,52.0,,,
682,20.4,1.633333333333333,47.8,51.3,51.8,51.9,52.0,52.0,,,
683,20.3,1.6666666666666667,47.8,51.3,51.8,51.8,52.0,51.7,,,
684,20.3,1.6666666666666667,47.8,51.3,51.8,51.8,52.0,51.8,,,
685,20.4,1.6666666666666667,47.8,51.3,51.8,51.8,52.0,51.9,,,
686,20.3,1.6499999999999997,47.8,51.3,51.8,51.8,52.0,52.0,,,
687,20.2,1.6833333333333333,47.8,51.3,51.8,51.8,52.0,51.8,,,
688,20.1,1.6666666666666667,47.8,51.3,51.8,51.8,52.0,51.4,,,
689,20.4,1.6666666666666667,47.8,51.3,51.8,51.8,52.0,51.9,,,
690,20.4,1.6666666666666667,47.8,51.2,51.8,51.8,52.0,51.7,,,
691,20.3,1.6666666666666663,47.7,51.3,51.8,51.8,52.0,51.8,,,
692,20.1,1.633333333333333,47.8,51.3,51.8,51.8,52.0,51.9,,,
693,20.2,1.6499999999999997,47.8,51.3,51.8,51.8,52.0,51.9,,,
694,20.4,1.6499999999999997,47.7,51.2,51.8,51.8,52.0,51.9,,,
695,20.4,1.6666666666666667,47.7,51.2,51.8,51.8,52.0,51.9,,,
696,20.3,1.6833333333333333,47.7,51.2,51.7,51.8,52.0,51.8,,,
697,20.2,1.633333333333333,47.7,51.2,51.7,51.8,52.0,51.9,,,
698,20.3,1.6499999999999997,47.7,51.2,51.7,51.8,52.0,52.0,,,
699,20.2,1.6500000000000001,47.7,51.2,51.7,51.8,52.0,51.9,,,
700,20.1,1.7000000000000002,47.7,51.2,51.7,51.8,52.0,51.9,,,
701,20.4,1.6833333333333336,47.7,51.2,51.7,51.8,51.9,51.9,,,
702,20.3,1.666666666666667,47.7,51.2,51.7,51.8,52.0,51.7,,,
703,20.2,1.6666666666666667,47.7,51.2,51.7,51.8,52.0,51.9,,,
704,20.2,1.6499999999999997,47.7,51.2,51.7,51.8,51.9,51.8,,,
705,20.3,1.6666666666666667,47.7,51.2,51.7,51.8,51.9,51.8,,,
706,20.3,1.6666666666666667,47.6,51.2,51.7,51.7,51.9,51.6,,,
707,20.2,1.6666666666666663,47.6,51.2,51.7,51.8,51.9,51.9,,,
708,20.4,1.6666666666666663,47.6,51.2,51.7,51.8,51.9,51.8,,,
709,20.3,1.6499999999999997,47.6,51.2,51.7,51.8,51.9,51.8,,,
710,20.2,1.6499999999999997,47.6,51.2,51.7,51.8,51.9,51.9,,,
711,20.3,1.6666666666666667,47.6,51.2,51.7,51.8,51.9,51.7,,,
712,20.4,1.6499999999999997,47.6,51.2,51.7,51.7,51.9,51.7,,,
713,20.1,1.6833333333333333,47.6,51.2,51.7,51.7,51.9,51.6,,,
714,20.3,1.6833333333333333,47.6,51.2,51.7,51.7,51.9,51.7,,,
715,20.4,1.6833333333333336,47.6,51.2,51.7,51.7,51.9,51.8,,,
716,20.3,1.6500000000000001,47.6,51.2,51.7,51.7,51.9,51.8,,,
717,20.1,1.6500000000000001,47.6,51.2,51.7,51.7,51.9,51.8,,,
718,20.3,1.6666666666666667,47.6,51.2,51.7,51.7,51.9,51.7,,,
719,20.4,1.6500000000000001,47.6,51.2,51.7,51.7,51.9,51.8,,,
720,20.2,1.7000000000000002,47.6,51.1,51.7,51.7,51.9,51.8,,,
721,20.2,1.6499999999999997,47.5,51.1,51.7,51.7,51.9,51.8,,,
722,20.5,1.666666666666667,47.6,51.2,51.7,51.7,51.9,51.9,,,
723,20.4,1.6500000000000001,47.5,51.2,51.7,51.7,51.9,51.6,,,
724,20.2,1.6666666666666667,47.5,51.1,51.7,51.7,51.9,51.8,,,
725,20.2,1.6833333333333336,47.5,51.1,51.7,51.7,51.9,51.9,,,
726,20.4,1.5999999999999999,47.5,51.1,51.7,51.7,51.9,51.7,,,
727,20.4,1.6500000000000001,47.5,51.1,51.7,51.7,51.9,51.8,,,
728,20.1,1.6166666666666665,47.5,51.1,51.7,51.7,51.9,51.7,,,
729,20.2,1.666666666666667,47.5,51.1,51.6,51.7,51.9,51.8,,,
730,20.3,1.6833333333333333,47.5,51.1,51.6,51.7,51.9,51.7,,,
731,20.3,1.6500000000000001,47.5,51.1,51.7,51.7,51.9,51.7,,,
732,20.2,1.6166666666666665,47.5,51.1,51.6,51.7,51.8,51.4,,,
733,20.2,1.6500000000000001,47.5,51.1,51.6,51.7,51.9,51.7,,,
734,20.4,1.666666666666667,47.5,51.1,51.7,51.7,51.9,51.8,,,
735,20.3,1.7000000000000002,47.5,51.1,51.6,51.7,51.9,51.8,,,
736,20.4,1.6166666666666665,47.5,51.1,51.6,51.7,51.9,51.7,,,
737,20.3,1.6500000000000001,47.5,51.1,51.6,51.7,51.8,51.8,,,
738,20.1,1.6166666666666665,47.5,51.1,51.6,51.7,51.8,51.8,,,
739,20.3,1.666666666666667,47.5,51.1,51.6,51.7,51.8,51.6,,,
740,20.4,1.6666666666666667,47.5,51.1,51.6,51.7,51.8,51.7,,,
741,20.2,1.666666666666667,47.5,51.1,51.6,51.7,51.8,51.6,,,
742,20.2,1.6500000000000001,47.4,51.1,51.6,51.7,51.8,51.6,,,
743,20.4,1.6500000000000004,47.4,51.1,51.6,51.7,51.8,51.6,,,
744,20.3,1.633333333333333,47.4,51.1,51.6,51.6,51.8,51.7,,,
745,20.2,1.6833333333333333,47.4,51.1,51.6,51.6,51.8,51.8,,,
746,20.3,1.6833333333333336,47.4,51.1,51.6,51.6,51.8,51.6,,,
747,20.3,1.666666666666667,47.4,51.1,51.6,51.6,51.8,51.7,,,
748,20.2,1.6500000000000001,47.4,51.0,51.6,51.6,51.8,51.6,,,
749,20.1,1.666666666666667,47.4,51.1,51.6,51.6,51.8,51.6,,,
750,20.5,1.6833333333333333,47.4,51.0,51.6,51.6,51.8,51.6,,,
751,20.5,1.6666666666666667,47.4,51.0,51.6,51.6,51.8,51.8,,,
752,20.2,1.6500000000000001,47.4,51.0,51.6,51.6,51.8,51.5,,,
753,20.2,1.6500000000000001,47.4,51.0,51.6,51.6,51.8,51.8,,,
754,20.3,1.6500000000000004,47.4,51.0,51.6,51.6,51.8,51.7,,,
755,20.4,1.6500000000000001,47.4,51.0,51.6,51.6,51.8,51.8,,,
756,20.4,1.6500000000000001,47.4,51.0,51.6,51.6,51.8,51.7,,,
757,20.1,1.6833333333333333,47.4,51.0,51.6,51.6,51.8,51.7,,,
758,20.2,1.6499999999999997,47.4,51.0,51.6,51.6,51.8,51.6,,,
759,20.4,1.6499999999999997,47.4,51.0,51.6,51.6,51.8,51.6,,,
760,20.3,1.6499999999999997,47.4,51.0,51.6,51.6,51.8,51.5,,,
761,20.3,1.6166666666666665,47.4,51.0,51.6,51.6,51.8,51.5,,,
762,20.3,1.6499999999999997,47.4,51.0,51.6,51.6,51.8,51.7,,,
763,20.4,1.6499999999999997,47.3,51.0,51.5,51.6,51.8,51.6,,,
764,20.3,1.6666666666666667,47.3,51.0,51.6,51.6,51.7,51.6,,,
765,20.0,1.7166666666666666,47.3,51.0,51.5,51.6,51.8,51.6,,,
766,20.1,1.6166666666666665,47.3,51.0,51.5,51.6,51.8,51.7,,,
767,20.4,1.6499999999999997,47.3,51.0,51.5,51.6,51.8,51.6,,,
768,20.3,1.6499999999999997,47.3,51.0,51.5,51.6,51.8,51.7,,,
769,20.1,1.6666666666666667,47.3,51.0,51.5,51.6,51.8,51.6,,,
770,20.3,1.6833333333333333,47.3,51.0,51.5,51.6,51.7,51.6,,,
771,20.4,1.633333333333333,47.3,51.0,51.5,51.6,51.7,51.4,,,
772,20.4,1.633333333333333,47.3,51.0,51.5,51.6,51.7,51.7,,,
773,20.2,1.6666666666666663,47.3,51.0,51.5,51.6,51.7,51.6,,,
774,20.3,1.6666666666666667,47.3,51.0,51.5,51.6,51.7,51.4,,,
775,20.4,1.6666666666666663,47.3,50.9,51.5,51.6,51.7,51.6,,,
776,20.3,1.6666666666666667,47.3,50.9,51.5,51.6,51.7,51.5,,,
777,20.2,1.6499999999999997,47.3,51.0,51.5,51.6,51.7,51.4,,,
778,20.3,1.633333333333333,47.3,50.9,51.5,51.5,51.7,51.5,,,
779,20.3,1.6499999999999997,47.3,50.9,51.5,51.6,51.7,51.6,,,
780,20.3,1.6833333333333333,47.3,50.9,51.5,51.6,51.7,51.7,,,
781,20.3,1.6499999999999997,47.3,50.9,51.5,51.5,51.7,51.7,,,
782,20.2,1.6833333333333333,47.3,50.9,51.5,51.5,51.7,51.3,,,
783,20.2,1.633333333333333,47.3,50.9,51.5,51.5,51.7,51.3,,,
784,20.4,1.6500000000000001,47.3,50.9,51.5,51.5,51.7,51.5,,,
785,20.3,1.6833333333333336,47.3,50.9,51.5,51.5,51.7,51.5,,,
786,20.2,1.6666666666666667,47.2,50.9,51.5,51.5,51.7,51.5,,,
787,20.2,1.6666666666666667,47.3,50.9,51.5,51.5,51.7,51.4,,,
788,20.4,1.6499999999999997,47.2,50.9,51.5,51.5,51.7,51.5,,,
789,20.3,1.6666666666666663,47.2,50.9,51.5,51.5,51.7,51.6,,,
790,20.1,1.633333333333333,47.2,50.9,51.5,51.5,51.7,51.6,,,
791,20.2,1.6666666666666667,47.2,50.9,51.5,51.5,51.7,51.5,,,
792,20.4,1.6333333333333335,47.2,50.9,51.5,51.5,51.7,51.6,,,
793,20.4,1.666666666666667,47.2,50.9,51.5,51.5,51.7,51.6,,,
794,20.2,1.666666666666667,47.2,50.9,51.5,51.5,51.7,51.5,,,
795,20.2,1.6666666666666667,47.2,50.9,51.5,51.5,51.7,51.6,,,
796,20.4,1.5999999999999999,47.2,50.9,51.5,51.5,51.7,51.6,,,
797,20.4,1.6500000000000001,47.2,50.9,51.4,51.5,51.7,51.6,,,
798,20.1,1.6500000000000001,47.2,50.8,51.4,51.5,51.7,51.5,,,
799,20.2,1.6666666666666667,47.2,50.8,51.5,51.5,51.7,51.6,,,
800,20.3,1.6500000000000001,47.2,50.9,51.4,51.5,51.7,51.6,,,
801,20.2,1.6333333333333335,47.2,50.8,51.4,51.5,51.6,51.6,,,
802,20.2,1.6166666666666665,47.2,50.8,51.4,51.5,51.6,51.6,,,
803,20.3,1.6333333333333335,47.2,50.8,51.4,51.5,51.6,51.4,,,
804,20.3,1.6833333333333336,47.2,50.8,51.4,51.5,51.6,51.4,,,
805,20.2,1.6666666666666667,47.2,50.8,51.4,51.5,51.6,51.5,,,
806,20.2,1.6333333333333335,47.2,50.8,51.4,51.5,51.6,51.4,,,
807,20.4,1.6833333333333336,47.2,50.8,51.4,51.5,51.6,51.5,,,
808,20.3,1.7166666666666668,47.2,50.8,51.4,51.5,51.6,51.5,,,
809,20.1,1.6500000000000001,47.2,50.8,51.4,51.5,51.6,51.5,,,
810,20.2,1.6333333333333335,47.2,50.8,51.4,51.5,51.6,51.6,,,
811,20.3,1.6500000000000001,47.2,50.8,51.4,51.4,51.6,51.4,,,
812,20.2,1.6500000000000001,47.2,50.8,51.4,51.4,51.6,51.5,,,
813,20.1,1.7000000000000002,47.2,50.8,51.4,51.5,51.6,51.5,,,
814,20.4,1.6833333333333336,47.1,50.8,51.4,51.4,51.6,51.5,,,
815,20.4,1.6833333333333333,47.2,50.8,51.4,51.4,51.6,51.6,,,
816,20.3,1.6333333333333335,47.1,50.8,51.4,51.4,51.6,51.5,,,
817,20.3,1.6333333333333335,47.1,50.8,51.4,51.4,51.6,51.5,,,
818,20.4,1.7000000000000002,47.1,50.8,51.4,51.4,51.6,51.4,,,
819,20.4,1.6666666666666667,47.1,50.8,51.4,51.4,51.6,51.4,,,
820,20.1,1.6833333333333333,47.2,50.8,51.4,51.4,51.6,51.5,,,
821,20.1,1.7,47.1,50.7,51.4,51.4,51.6,51.4,,,
822,20.4,1.6666666666666667,47.1,50.7,51.4,51.4,51.6,51.4,,,
823,20.4,1.6666666666666667,47.1,50.8,51.4,51.4,51.6,51.2,,,
824,20.1,1.6500000000000001,47.1,50.7,51.4,51.4,51.6,51.5,,,
825,20.2,1.6666666666666667,47.1,50.7,51.4,51.4,51.6,51.5,,,
826,20.4,1.666666666666667,47.1,50.7,51.4,51.4,51.6,51.5,,,
827,20.2,1.6833333333333336,47.1,50.7,51.4,51.4,51.6,51.4,,,
828,20.2,1.7000000000000002,47.1,50.7,51.4,51.4,51.6,51.5,,,
829,20.4,1.666666666666667,47.1,50.7,51.4,51.4,51.6,51.4,,,
830,20.4,1.6500000000000001,47.1,50.7,51.4,51.4,51.6,51.5,,,
831,20.2,1.6500000000000001,47.1,50.7,51.4,51.4,51.6,51.5,,,
832,20.2,1.6500000000000001,47.1,50.7,51.3,51.4,51.6,51.3,,,
833,20.2,1.6500000000000001,47.1,50.7,51.3,51.4,51.6,51.2,,,
834,20.4,1.6500000000000001,47.1,50.7,51.3,51.4,51.6,51.4,,,
835,20.3,1.6833333333333333,47.1,50.7,51.3,51.4,51.6,51.5,,,
836,20.1,1.7,47.1,50.7,51.3,51.4,51.6,51.4,,,
837,20.2,1.6833333333333333,47.1,50.7,51.3,51.4,51.6,51.2,,,
838,20.3,1.6499999999999997,47.1,50.7,51.3,51.4,51.5,51.5,,,
839,20.4,1.6499999999999997,47.1,50.7,51.3,51.4,51.5,51.5,,,
840,20.2,1.6499999999999997,47.1,50.7,51.3,51.4,51.5,51.4,,,
841,20.3,1.6666666666666667,47.1,50.7,51.3,51.4,51.5,51.4,,,
842,20.4,1.6666666666666667,47.1,50.7,51.3,51.4,51.5,51.5,,,
843,20.2,1.6666666666666667,47.1,50.7,51.3,51.4,51.5,51.5,,,
844,20.2,1.6499999999999997,47.1,50.7,51.3,51.4,51.5,51.4,,,
845,20.3,1.633333333333333,47.1,50.7,51.3,51.4,51.5,51.2,,,
846,20.4,1.633333333333333,47.1,50.6,51.3,51.3,51.5,51.5,,,
847,20.2,1.6833333333333333,47.1,50.6,51.3,51.3,51.5,51.3,,,
848,20.2,1.6499999999999997,47.1,50.6,51.3,51.3,51.5,51.4,,,
849,20.4,1.6499999999999997,47.1,50.6,51.3,51.3,51.5,51.4,,,
850,20.3,1.6666666666666667,47.0,50.6,51.3,51.3,51.5,51.4,,,
851,20.2,1.6499999999999997,47.0,50.6,51.3,51.3,51.5,51.4,,,
852,20.2,1.6666666666666667,47.1,50.6,51.3,51.3,51.5,51.4,,,
853,20.4,1.6499999999999997,47.0,50.6,51.3,51.3,51.5,51.4,,,
854,20.4,1.633333333333333,47.0,50.6,51.3,51.3,51.5,51.4,,,
855,20.2,1.6499999999999997,47.0,50.6,51.3,51.3,51.5,51.5,,,
856,20.2,1.6499999999999997,47.0,50.6,51.3,51.3,51.5,51.5,,,
857,20.4,1.6833333333333333,47.0,50.6,51.3,51.3,51.5,51.3,,,
858,20.2,1.6499999999999997,47.0,50.6,51.3,51.3,51.5,51.4,,,
859,20.1,1.633333333333333,47.0,50.6,51.3,51.3,51.5,51.4,,,
860,20.3,1.633333333333333,47.0,50.6,51.3,51.3,51.5,51.4,,,
861,20.4,1.6499999999999997,47.0,50.6,51.3,51.3,51.5,51.4,,,
862,20.3,1.6666666666666667,47.0,50.6,51.3,51.3,51.5,51.4,,,
863,20.3,1.6666666666666663,47.0,50.6,51.3,51.3,51.5,51.4,,,
864,20.5,1.6666666666666663,47.0,50.6,51.3,51.3,51.5,50.9,,,
865,20.4,1.6833333333333333,47.0,50.6,51.3,51.3,51.4,51.2,,,
866,20.0,1.6833333333333333,47.0,50.6,51.2,51.3,51.4,51.4,,,
867,20.1,1.6500000000000001,47.0,50.6,51.2,51.3,51.5,51.2,,,
868,20.3,1.6166666666666665,47.0,50.6,51.2,51.3,51.5,51.2,,,
869,20.4,1.6499999999999997,47.0,50.5,51.2,51.3,51.5,51.4,,,
870,20.2,1.6499999999999997,47.0,50.6,51.2,51.3,51.5,51.1,,,
871,20.1,1.6833333333333336,47.0,50.5,51.2,51.3,51.4,51.3,,,
872,20.3,1.7000000000000002,47.0,50.5,51.2,51.3,51.4,51.3,,,
873,20.4,1.6666666666666667,47.0,50.5,51.2,51.3,51.4,51.4,,,
874,20.3,1.6499999999999997,47.0,50.5,51.2,51.3,51.4,51.4,,,
875,20.2,1.633333333333333,47.0,50.5,51.2,51.3,51.4,51.3,,,
876,20.4,1.6833333333333333,47.0,50.5,51.2,51.3,51.4,51.2,,,
877,20.3,1.633333333333333,47.0,50.5,51.2,51.3,51.4,51.3,,,
878,20.2,1.6666666666666663,47.0,50.5,51.2,51.3,51.4,51.1,,,
879,20.2,1.6666666666666667,47.0,50.5,51.2,51.2,51.4,51.4,,,
880,20.4,1.6833333333333333,47.0,50.5,51.2,51.2,51.4,51.2,,,
881,20.3,1.6833333333333333,47.0,50.5,51.2,51.2,51.4,51.3,,,
882,20.2,1.6500000000000001,47.0,50.5,51.2,51.3,51.4,51.3,,,
883,20.1,1.6500000000000001,47.0,50.5,51.2,51.2,51.4,51.2,,,
884,20.3,1.6500000000000001,47.0,50.5,51.2,51.2,51.4,51.3,,,
885,20.3,1.6500000000000001,47.0,50.5,51.2,51.2,51.4,51.3,,,
886,20.1,1.7166666666666668,47.0,50.5,51.2,51.2,51.4,51.4,,,
887,20.1,1.6500000000000001,47.0,50.5,51.2,51.2,51.4,51.3,,,
888,20.4,1.6500000000000001,47.0,50.5,51.2,51.2,51.4,51.2,,,
889,20.4,1.6500000000000001,46.9,50.5,51.2,51.2,51.4,51.2,,,
890,20.2,1.666666666666667,46.9,50.5,51.2,51.2,51.4,51.3,,,
891,20.1,1.6500000000000001,46.9,50.5,51.2,51.2,51.4,51.2,,,
892,20.3,1.6333333333333335,47.0,50.5,51.2,51.2,51.4,51.1,,,
893,20.3,1.6833333333333336,46.9,50.4,51.2,51.2,51.4,51.2,,,
894,20.2,1.6666666666666667,46.9,50.4,51.2,51.2,51.4,51.3,,,
895,20.2,1.7000000000000002,46.9,50.4,51.2,51.2,51.4,51.2,,,
896,20.4,1.6166666666666665,46.9,50.4,51.2,51.2,51.4,51.2,,,
897,20.3,1.666666666666667,46.9,50.4,51.2,51.2,51.4,51.1,,,
898,20.1,1.633333333333333,46.9,50.4,51.2,51.2,51.4,51.1,,,
899,20.2,1.6500000000000001,46.9,50.4,51.1,51.2,51.4,51.3,,,
900,20.4,1.6833333333333336,46.9,50.4,51.1,51.2,51.3,51.3,,,
901,20.3,1.6666666666666667,46.9,50.4,51.1,51.2,51.4,51.2,,,
902,20.3,1.6500000000000001,46.9,50.4,51.1,51.2,51.4,51.1,,,
903,20.2,1.6333333333333335,46.9,50.4,51.1,51.2,51.3,51.2,,,
904,20.3,1.6500000000000001,46.9,50.4,51.1,51.2,51.3,51.2,,,
905,20.2,1.6500000000000004,46.9,50.4,51.1,51.2,51.3,51.1,,,
906,20.2,1.6499999999999997,46.9,50.4,51.1,51.2,51.3,51.3,,,
907,20.3,1.666666666666667,46.9,50.4,51.1,51.2,51.3,51.3,,,
908,20.5,1.6499999999999997,46.9,50.4,51.1,51.2,51.3,51.3,,,
909,20.2,1.6833333333333336,46.9,50.4,51.1,51.2,51.3,51.2,,,
910,20.3,1.6666666666666667,46.9,50.4,51.1,51.2,51.3,51.3,,,
911,20.4,1.6166666666666665,46.9,50.4,51.1,51.2,51.3,51.2,,,
912,20.3,1.6333333333333335,46.9,50.4,51.1,51.1,51.3,51.3,,,
913,20.2,1.633333333333333,46.9,50.4,51.1,51.2,51.3,51.3,,,
914,20.2,1.6333333333333335,46.9,50.4,51.1,51.2,51.3,51.1,,,
915,20.3,1.7000000000000002,46.9,50.3,51.1,51.1,51.3,51.2,,,
916,20.3,1.6833333333333336,46.9,50.3,51.1,51.1,51.3,51.3,,,
917,20.2,1.6833333333333333,46.9,50.3,51.1,51.1,51.3,51.2,,,
918,20.3,1.6500000000000001,46.9,50.3,51.1,51.1,51.3,51.2,,,
919,20.4,1.666666666666667,46.9,50.3,51.1,51.1,51.3,51.2,,,
920,20.2,1.6333333333333335,46.9,50.3,51.1,51.1,51.3,51.3,,,
921,20.2,1.6666666666666667,46.9,50.3,51.1,51.1,51.3,51.3,,,
922,20.4,1.666666666666667,46.9,50.3,51.1,51.1,51.3,51.3,,,
923,20.2,1.6500000000000004,46.9,50.3,51.1,51.1,51.3,51.2,,,
924,20.1,1.666666666666667,46.9,50.3,51.1,51.1,51.3,51.2,,,
925,20.2,1.6666666666666667,46.9,50.3,51.1,51.1,51.3,51.0,,,
926,20.4,1.6666666666666667,46.9,50.3,51.1,51.1,51.3,51.2,,,
927,20.4,1.6166666666666665,46.9,50.3,51.1,51.1,51.3,51.2,,,
928,20.3,1.6666666666666667,46.9,50.3,51.1,51.1,51.3,51.2,,,
929,20.4,1.666666666666667,46.9,50.3,51.1,51.1,51.3,51.2,,,
930,20.4,1.6500000000000001,46.9,50.3,51.1,51.1,51.3,51.1,,,
931,20.3,1.666666666666667,46.8,50.3,51.1,51.1,51.3,51.1,,,
932,20.1,1.6166666666666665,46.9,50.3,51.1,51.1,51.3,51.1,,,
933,20.1,1.6499999999999997,46.8,50.3,51.1,51.1,51.3,51.2,,,
934,20.4,1.666666666666667,46.8,50.3,51.0,51.1,51.3,51.1,,,
935,20.3,1.6666666666666667,46.9,50.3,51.0,51.1,51.2,51.0,,,
936,20.1,1.6666666666666667,46.8,50.3,51.0,51.1,51.2,51.0,,,
937,20.3,1.6833333333333333,46.8,50.2,51.0,51.1,51.2,51.2,,,
938,20.4,1.6833333333333333,46.8,50.3,51.0,51.1,51.3,51.0,,,
939,20.3,1.6833333333333333,46.8,50.3,51.0,51.1,51.3,51.1,,,
940,20.2,1.7000000000000002,46.8,50.3,51.0,51.1,51.2,50.9,,,
941,20.2,1.633333333333333,46.8,50.2,51.0,51.1,51.2,51.1,,,
942,20.4,1.6666666666666663,46.8,50.2,51.0,51.1,51.2,51.1,,,
943,20.4,1.6499999999999997,46.8,50.2,51.0,51.1,51.2,51.0,,,
944,20.1,1.6833333333333333,46.8,50.2,51.0,51.1,51.2,51.2,,,
945,20.2,1.6666666666666667,46.8,50.2,51.0,51.0,51.2,51.2,15.3,23.0,2.466666666666667
946,20.3,1.6666666666666667,41.9,48.0,51.0,51.0,51.2,51.1,15.1,51.0,3.0
947,20.3,1.6666666666666663,37.9,41.6,50.9,51.0,51.2,50.8,15.0,51.0,3.0
948,20.2,1.6666666666666667,34.9,37.7,50.6,50.9,51.2,51.0,14.9,51.0,3.0
949,20.3,50.26666666666667,31.6,34.4,50.5,50.8,51.1,51.2,14.9,51.0,3.0
950,20.1,318.98333333333335,29.7,30.7,49.5,50.7,51.1,51.1,14.9,50.9,2.5166666666666666
951,19.8,352.8833333333334,29.9,30.4,49.1,50.7,51.0,51.0,,,
952,20.1,346.2833333333333,29.9,30.8,48.5,50.7,51.0,51.0,,,
953,20.2,339.90000000000003,29.9,30.9,47.9,50.7,51.0,50.8,,,
954,20.0,356.34999999999997,30.0,31.2,47.6,50.7,51.0,50.9,,,
955,19.9,363.06666666666666,30.0,31.5,47.9,50.7,51.0,50.9,,,
956,20.1,353.43333333333334,30.1,31.9,47.6,50.7,51.0,50.8,,,
957,20.2,345.7,30.1,32.2,47.7,50.6,51.0,50.9,,,
958,19.9,344.0833333333333,30.2,32.5,47.7,50.7,51.0,50.8,,,
959,19.8,344.5,30.3,32.9,47.6,50.7,51.0,51.0,,,
960,20.2,344.7333333333333,30.4,33.1,47.6,50.7,51.0,50.9,,,
961,20.3,345.7833333333333,30.5,33.3,47.6,50.7,51.0,50.9,,,
962,19.9,348.0,30.5,33.7,47.6,50.6,51.0,50.6,,,
963,19.8,350.83333333333326,30.7,34.0,47.6,50.6,51.0,50.9,,,
964,20.2,351.84999999999997,30.8,34.3,47.7,50.6,51.0,50.9,,,
965,20.3,352.6166666666666,30.9,34.6,47.7,50.6,51.0,50.5,,,
966,20.0,353.31666666666666,31.0,34.8,47.6,50.6,51.0,50.8,,,
967,19.8,355.05,31.1,35.1,47.7,50.6,51.0,50.7,,,
968,19.9,356.5,31.3,35.4,47.7,50.7,50.9,50.9,,,
969,20.3,357.3,31.3,35.7,47.7,50.6,51.0,50.7,,,
970,20.2,358.99999999999994,31.4,36.0,47.8,50.6,50.9,50.4,,,
971,19.9,359.86666666666673,31.6,36.2,47.8,50.6,50.9,50.9,,,
972,19.8,361.29999999999995,31.7,36.5,47.9,50.6,50.9,50.7,,,
973,20.2,362.1333333333334,31.9,36.7,47.9,50.6,50.9,50.9,,,
974,20.3,362.76666666666665,32.1,37.0,48.0,50.6,50.9,50.5,,,
975,20.0,363.98333333333335,32.2,37.3,48.0,50.6,50.9,50.5,,,
976,19.9,365.06666666666666,32.4,37.5,48.1,50.6,50.9,50.9,,,
977,20.1,366.2,32.5,37.8,48.1,50.6,50.9,50.5,,,
978,20.4,366.98333333333335,32.7,38.0,48.3,50.6,50.9,50.3,,,
979,20.0,368.01666666666665,32.8,38.3,48.3,50.6,50.9,50.7,,,
980,19.8,369.25,33.0,38.5,48.4,50.6,50.9,50.7,,,
981,20.2,369.56666666666666,33.2,38.8,48.5,50.6,50.9,50.4,,,
982,20.2,370.6166666666666,33.3,39.0,48.5,50.6,50.9,50.5,,,
983,19.9,371.63333333333327,33.5,39.2,48.6,50.7,50.8,50.4,,,
984,19.9,372.34999999999997,33.7,39.5,48.7,50.7,50.8,50.4,,,
985,20.2,375.9166666666667,33.9,39.7,48.8,50.7,50.8,50.8,,,
986,20.3,373.9166666666667,34.1,40.0,48.8,50.6,50.9,50.9,,,
987,20.1,374.8333333333333,34.2,40.2,48.9,50.6,50.8,50.7,,,
988,19.8,376.01666666666665,34.4,40.4,49.0,50.7,50.9,50.3,,,
989,20.1,376.7666666666667,34.6,40.6,49.1,50.7,50.8,50.4,,,
990,20.4,377.2333333333333,34.8,40.9,49.2,50.7,50.8,50.5,,,
991,20.2,378.9166666666667,35.0,41.1,49.3,50.7,50.8,50.4,,,
992,19.9,379.56666666666666,35.2,41.3,49.4,50.7,50.8,50.5,,,
993,20.1,380.26666666666665,35.4,41.5,49.5,50.7,50.8,50.8,,,
994,20.3,381.45000000000005,35.6,41.8,49.6,50.7,50.9,50.6,,,
995,20.1,381.93333333333334,35.8,42.0,49.6,50.7,50.8,50.9,,,
996,19.9,383.06666666666666,36.0,42.2,49.7,50.7,50.8,50.9,,,
997,20.1,384.1166666666666,36.2,42.4,49.8,50.7,50.9,50.9,,,
998,20.3,384.9166666666667,36.4,42.6,49.9,50.7,50.9,50.8,,,
999,20.2,385.8833333333334,36.6,42.8,50.0,50.7,50.9,50.9,,,
1000,19.9,386.06666666666666,36.8,43.0,50.1,50.7,50.9,50.9,,,
1001,20.0,386.7166666666667,37.0,43.2,50.2,50.7,50.9,50.9,,,
1002,20.3,387.73333333333335,37.2,43.5,50.2,50.7,50.9,50.9,,,
1003,20.1,388.81666666666666,37.4,43.6,50.3,50.7,50.9,50.9,,,
1004,19.8,389.81666666666666,37.6,43.8,50.4,50.7,50.9,50.9,13.8,25.4,1.3166666666666667
1005,19.8,390.31666666666666,37.9,44.0,50.4,50.7,50.9,50.9,15.2,25.2,1.7
1006,20.1,388.6166666666666,34.6,43.0,49.9,50.7,50.9,50.9,15.0,50.6,1.7
1007,20.3,381.1333333333334,32.8,42.7,49.3,50.7,50.9,50.9,14.9,50.6,1.7
1008,20.2,374.55,31.1,39.9,48.8,50.7,50.9,50.8,14.9,50.6,1.4166666666666667
1009,19.9,372.11666666666673,31.4,40.2,48.7,50.6,50.9,50.3,,,
1010,20.1,374.6166666666666,31.4,41.0,49.0,50.6,50.9,49.8,,,
1011,20.3,374.8333333333333,31.5,40.0,49.0,50.6,50.9,50.8,,,
