default 20.138
time(min),temperature(C)
454, 20.300
455, 19.900
456, 19.950
457, 20.283
458, 20.433
459, 20.133
460, 19.867
461, 19.983
462, 20.333
463, 20.367
464, 20.117
465, 19.883
466, 20.067
467, 20.350
468, 20.383
469, 20.050
470, 19.850
471, 20.083
472, 20.467
473, 20.317
474, 20.100
475, 19.817
476, 20.233
477, 20.400
478, 20.283
479, 20.017
480, 19.900
481, 20.267
482, 20.467
483, 20.233
484, 19.900
485, 19.883
486, 20.317
487, 20.467
488, 20.300
489, 20.000
490, 19.767
491, 20.067
492, 20.450
493, 20.367
494, 20.067
495, 19.883
496, 20.150
497, 20.400
498, 20.300
499, 19.950
500, 19.833
501, 20.183
502, 20.400
503, 20.367
504, 20.033
505, 19.933
506, 20.267
507, 20.483
508, 20.283
509, 20.000
510, 19.867
511, 20.283
512, 20.383
513, 20.317
514, 19.967
515, 19.833
516, 20.183
517, 20.433
518, 20.250
519, 19.967
520, 19.900
521, 20.300
522, 20.450
523, 20.300
524, 19.950
525, 19.783
526, 20.150
527, 20.417
528, 20.300
529, 19.950
530, 19.817
531, 20.167
532, 20.433
533, 20.367
534, 20.050
535, 19.767
536, 20.050
537, 20.350
538, 20.350
539, 20.100
540, 19.783
541, 20.000
542, 20.350
543, 20.367
544, 20.083
545, 19.900
546, 20.183
547, 20.417
548, 20.300
549, 19.933
550, 19.817
551, 20.167
552, 20.417
553, 20.300
554, 20.050
555, 19.817
556, 20.083
557, 20.433
558, 20.400
559, 20.117
560, 19.800
561, 19.883
562, 20.267
563, 20.400
564, 20.183
565, 19.917
566, 19.967
567, 20.350
568, 20.450
569, 20.217
570, 19.850
571, 19.933
572, 20.333
573, 20.400
574, 20.217
575, 19.817
576, 19.867
577, 20.233
578, 20.450
579, 20.233
580, 19.933
581, 19.883
582, 20.217
583, 20.433
584, 20.267
585, 19.933
586, 19.800
587, 20.133
588, 20.467
589, 20.333
590, 20.033
591, 19.783
592, 20.000
593, 20.350
594, 20.400
595, 20.167
596, 19.800
597, 19.950
598, 20.317
599, 20.467
600, 20.283
601, 19.883
602, 19.750
603, 20.133
604, 20.400
605, 20.317
606, 20.017
607, 19.800
608, 20.133
609, 20.467
610, 20.417
611, 20.200
612, 19.850
613, 20.017
614, 20.350
615, 20.467
616, 20.250
617, 19.917
618, 19.783
619, 20.200
620, 20.417
621, 20.283
622, 19.917
623, 19.867
624, 20.283
625, 20.483
626, 20.417
627, 20.033
628, 19.783
629, 19.917
630, 20.350
631, 20.417
632, 20.183
633, 19.900
634, 19.900
635, 20.333
636, 20.483
637, 20.133
638, 19.733
639, 19.967
640, 20.217
641, 20.350
642, 20.217
643, 19.900
644, 20.033
645, 20.367
646, 20.217
647, 19.867
648, 19.967
649, 20.350
650, 20.350
651, 20.117
652, 19.683
653, 19.767
654, 20.183
655, 20.217
656, 20.117
657, 19.850
658, 20.033
659, 20.233
660, 20.233
661, 19.983
662, 19.833
663, 20.250
664, 20.283
665, 20.067
666, 19.800
667, 20.133
668, 20.250
669, 20.050
670, 19.933
671, 20.217
672, 20.100
673, 20.067
674, 20.133
675, 19.933
676, 20.017
677, 20.233
678, 20.150
679, 20.017
680, 20.283
681, 20.133
682, 19.967
683, 20.117
684, 20.233
685, 20.017
686, 19.750
687, 20.067
688, 20.283
689, 20.300
690, 20.067
691, 20.050
692, 20.567
693, 20.083
694, 19.783
695, 19.567
696, 20.033
697, 20.183
698, 20.183
699, 20.067
700, 19.817
701, 20.150
702, 20.267
703, 20.100
704, 19.717
705, 19.850
706, 20.267
707, 20.367
708, 20.133
709, 19.800
710, 19.800
711, 20.300
712, 20.400
713, 20.250
714, 19.850
715, 19.633
716, 20.100
717, 20.333
718, 20.233
719, 19.967
720, 19.967
721, 20.217
722, 20.183
723, 19.867
724, 20.017
725, 20.350
726, 20.250
727, 19.867
728, 19.783
729, 20.117
730, 20.333
731, 20.167
732, 19.733
733, 19.900
734, 20.283
735, 20.317
736, 19.983
737, 19.900
738, 20.283
739, 20.233
740, 19.783
741, 19.817
742, 20.200
743, 20.467
744, 20.383
745, 20.083
746, 19.833
747, 19.983
748, 20.333
749, 20.483
750, 20.300
751, 19.900
752, 19.800
753, 20.167
754, 20.350
755, 20.383
756, 20.083
757, 19.817
758, 20.200
759, 20.400
760, 20.433
761, 20.150
762, 19.817
763, 19.867
764, 20.167
765, 20.450
766, 20.300
767, 20.033
768, 19.800
769, 20.117
770, 20.433
771, 20.333
772, 20.067
773, 19.800
774, 20.083
775, 20.367
776, 20.450
777, 20.150
778, 19.800
779, 19.883
780, 20.400
781, 20.483
782, 20.233
783, 19.883
784, 19.683
785, 19.950
786, 20.217
787, 20.183
788, 20.200
789, 20.250
790, 20.200
791, 20.200
792, 20.200
793, 20.150
794, 20.150
795, 20.317
796, 20.317
797, 20.050
798, 19.917
799, 20.233
800, 20.450
801, 20.283
802, 19.917
803, 19.933
804, 20.233
805, 20.467
806, 20.350
807, 20.017
808, 19.783
809, 20.067
810, 20.383
811, 20.433
812, 20.150
813, 19.817
814, 19.967
815, 20.317
816, 20.483
817, 20.317
818, 19.933
819, 19.733
820, 20.033
821, 20.367
822, 20.467
823, 20.233
824, 19.917
825, 19.833
826, 20.217
827, 20.483
828, 20.333
829, 19.967
830, 19.817
831, 20.083
832, 20.433
833, 20.333
834, 20.050
835, 19.800
836, 20.050
837, 20.433
838, 20.467
839, 20.183
840, 19.867
841, 19.967
842, 20.367
843, 20.450
844, 20.200
845, 19.883
846, 19.800
847, 20.250
848, 20.483
849, 20.400
850, 20.017
851, 19.800
852, 20.033
853, 20.400
854, 20.467
855, 20.183
856, 19.817
857, 19.883
858, 20.250
859, 20.467
860, 20.367
861, 20.033
862, 19.783
863, 19.933
864, 20.283
865, 20.433
866, 20.283
867, 19.933
868, 19.817
869, 20.167
870, 20.433
871, 20.383
872, 20.067
873, 19.800
874, 20.167
875, 20.433
876, 20.483
877, 20.167
878, 19.867
879, 19.767
880, 20.233
881, 20.450
882, 20.317
883, 20.000
884, 19.817
885, 20.183
886, 20.450
887, 20.467
888, 20.117
889, 19.833
890, 19.817
891, 20.250
892, 20.550
893, 20.350
894, 20.000
895, 19.783
896, 20.167
897, 20.383
898, 20.483
899, 20.133
900, 19.833
901, 19.917
902, 20.250
903, 20.500
904, 20.250
905, 19.917
906, 19.733
907, 20.217
908, 20.433
909, 20.300
910, 20.050
911, 19.817
912, 20.100
913, 20.367
914, 20.450
915, 20.233
916, 19.867
917, 19.950
918, 20.333
919, 20.450
920, 20.200
921, 19.833
922, 19.850
923, 20.333
924, 20.467
925, 20.233
926, 19.917
927, 19.750
928, 20.217
929, 20.483
930, 20.433
931, 20.033
932, 19.767
933, 19.933
934, 20.400
935, 20.483
936, 20.283
937, 19.917
938, 19.783
939, 20.233
940, 20.500
941, 20.367
942, 19.950
943, 19.717
944, 20.083
945, 20.400
946, 20.433
947, 20.117
948, 19.850
949, 19.933
950, 20.317
951, 20.433
952, 20.150
953, 19.850
954, 19.967
955, 20.433
956, 20.467
957, 20.250
958, 19.917
959, 19.800
960, 20.317
961, 20.433
962, 20.350
963, 20.000
964, 19.750
965, 20.033
966, 20.333
967, 20.483
968, 20.200
969, 19.833
970, 19.783
971, 20.200
972, 20.433
973, 20.367
974, 20.017
975, 19.833
976, 20.167
977, 20.383
978, 20.400
979, 20.083
980, 19.817
981, 19.883
982, 20.300
983, 20.450
984, 20.283
985, 19.967
986, 19.833
987, 20.200
988, 20.433
989, 20.400
990, 20.117
991, 19.817
992, 19.967
993, 20.350
994, 20.500
995, 20.250
996, 19.933
997, 19.867
998, 20.250
999, 20.383
1000, 20.267
1001, 19.900
1002, 19.800
1003, 20.250
1004, 20.483
1005, 20.383
1006, 20.017
1007, 19.750
1008, 19.933
1009, 20.333
1010, 20.500
1011, 20.383
1012, 20.033
1013, 19.733
1014, 19.917
1015, 20.283
1016, 20.517
1017, 20.267
1018, 20.000
1019, 19.783
1020, 20.100
1021, 20.383
1022, 20.417
1023, 20.067
1024, 19.850
1025, 20.117
1026, 20.467
1027, 20.433
1028, 20.100
1029, 19.650
1030, 19.683
1031, 20.117
1032, 20.350
1033, 20.383
1034, 20.250
1035, 19.833
1036, 19.750
1037, 20.050
1038, 20.350
1039, 20.167
1040, 19.850
1041, 19.883
1042, 20.250
1043, 20.350
1044, 20.200
1045, 19.800
1046, 19.800
1047, 20.233
1048, 20.333
1049, 20.150
1050, 19.850
1051, 19.967
1052, 20.300
1053, 20.267
1054, 19.950
1055, 19.817
1056, 20.167
1057, 20.317
1058, 20.183
1059, 19.817
1060, 19.833
1061, 20.200
1062, 20.367
1063, 20.167
1064, 19.850
1065, 19.850
1066, 20.217
1067, 20.317
1068, 20.100
1069, 19.800
1070, 19.883
1071, 20.250
1072, 20.233
1073, 20.017
1074, 19.817
1075, 20.117
1076, 20.350
1077, 20.283
1078, 19.817
1079, 19.800
1080, 20.083
1081, 20.317
1082, 20.317
1083, 19.900
1084, 19.717
1085, 19.983
1086, 20.283
1087, 20.300
1088, 20.083
1089, 19.900
1090, 20.067
1091, 20.333
1092, 20.067
1093, 19.833
1094, 20.017
1095, 20.267
1096, 20.233
1097, 19.867
1098, 19.833
1099, 20.167
1100, 20.267
1101, 20.117
1102, 19.783
1103, 19.933
1104, 20.317
1105, 20.183
1106, 19.917
1107, 19.983
1108, 20.250
1109, 20.167
1110, 19.917
1111, 20.133
1112, 20.167
1113, 20.000
1114, 20.033
1115, 20.283
1116, 20.183
1117, 19.917
1118, 19.967
1119, 20.283
1120, 20.167
1121, 19.933
1122, 20.000
1123, 20.250
1124, 20.333
1125, 20.067
1126, 19.700
1127, 19.833
1128, 20.233
1129, 20.283
1130, 20.283
1131, 20.150
1132, 20.150
1133, 20.383
1134, 20.183
1135, 19.983
1136, 19.950
1137, 20.250
1138, 20.350
1139, 20.250
1140, 20.033
1141, 20.083
1142, 20.317
1143, 20.267
1144, 20.050
1145, 19.933
1146, 20.267
1147, 20.383
1148, 20.183
1149, 19.883
1150, 20.067
1151, 20.350
1152, 20.467
1153, 20.250
1154, 19.933
1155, 19.933
1156, 20.250
1157, 20.467
1158, 20.217
1159, 19.917
1160, 19.883
1161, 20.267
1162, 20.417
1163, 20.367
1164, 20.033
1165, 19.850
1166, 20.150
1167, 20.367
1168, 20.450
1169, 20.233
1170, 19.883
1171, 20.050
1172, 20.333
1173, 20.450
1174, 20.200
1175, 19.850
1176, 19.917
1177, 20.250
1178, 20.483
1179, 20.383
1180, 20.050
1181, 19.717
1182, 19.933
1183, 20.300
1184, 20.467
1185, 20.233
1186, 19.950
1187, 20.000
1188, 20.317
1189, 20.383
1190, 20.100
1191, 19.833
1192, 20.067
1193, 20.350
1194, 20.467
1195, 20.283
1196, 19.950
1197, 19.817
1198, 20.250
1199, 20.383
1200, 20.367
1201, 20.067
1202, 19.783
1203, 20.033
1204, 20.267
1205, 20.467
1206, 20.267
1207, 19.900
1208, 19.850
1209, 20.183
1210, 20.467
1211, 20.367
1212, 20.000
1213, 19.800
1214, 20.133
1215, 20.417
1216, 20.367
1217, 20.033
1218, 19.817
1219, 20.150
1220, 20.433
1221, 20.417
1222, 20.083
1223, 19.900
1224, 20.167
1225, 20.417
1226, 20.433
1227, 20.133
1228, 19.783
1229, 19.983
1230, 20.350
1231, 20.500
1232, 20.283
1233, 19.933
1234, 19.733
1235, 20.167
1236, 20.433
1237, 20.417
1238, 20.100
1239, 19.800
1240, 19.867
1241, 20.300
1242, 20.483
1243, 20.383
1244, 20.017
1245, 19.733
1246, 19.900
1247, 20.300
1248, 20.450
1249, 20.367
1250, 20.050
1251, 19.833
1252, 20.083
1253, 20.317
1254, 20.467
1255, 20.183
1256, 19.817
1257, 19.867
1258, 20.317
1259, 20.500
1260, 20.317
1261, 19.950
1262, 19.767
1263, 20.133
1264, 20.400
1265, 20.500
1266, 20.283
1267, 19.933
1268, 19.750
1269, 20.133
1270, 20.383
1271, 20.433
1272, 20.233
1273, 19.883
1274, 19.917
1275, 20.350
1276, 20.483
1277, 20.350
1278, 20.000
1279, 19.750
1280, 20.067
1281, 20.333
1282, 20.483
1283, 20.317
1284, 19.883
1285, 19.750
1286, 20.100
1287, 20.383
1288, 20.350
1289, 20.067
1290, 19.833
1291, 20.083
1292, 20.367
1293, 20.367
1294, 20.100
1295, 19.850
1296, 20.150
1297, 20.450
1298, 20.417
1299, 20.050
1300, 19.833
1301, 20.017
1302, 20.483
1303, 20.550
1304, 20.217
1305, 19.900
1306, 19.750
1307, 20.167
1308, 20.450
1309, 20.367
1310, 20.000
1311, 19.750
1312, 19.967
1313, 20.317
1314, 20.400
1315, 20.133
1316, 19.833
1317, 20.133
1318, 20.417
1319, 20.450
1320, 20.183
1321, 19.850
1322, 19.967
1323, 20.350
1324, 20.467
1325, 20.167
1326, 19.917
1327, 19.850
1328, 20.300
1329, 20.483
1330, 20.267
1331, 19.967
1332, 19.800
1333, 20.217
1334, 20.433
1335, 20.300
1336, 19.950
1337, 19.867
1338, 20.233
1339, 20.550
1340, 20.350
1341, 19.967
1342, 19.767
1343, 20.167
1344, 20.433
1345, 20.383
1346, 20.017
1347, 19.800
1348, 20.200
1349, 20.450
1350, 20.433
1351, 20.050
1352, 19.767
1353, 20.067
1354, 20.400
1355, 20.450
1356, 20.117
1357, 19.800
1358, 19.917
1359, 20.300
1360, 20.467
1361, 20.233
1362, 19.900
1363, 19.867
1364, 20.317
1365, 20.483
1366, 20.283
1367, 19.917
1368, 19.733
1369, 20.200
1370, 20.500
1371, 20.383
1372, 20.017
1373, 19.767
1374, 20.133
1375, 20.467
1376, 20.467
1377, 20.000
1378, 19.800
1379, 20.117
1380, 20.467
1381, 20.467
1382, 20.133
1383, 19.833
1384, 19.983
1385, 20.400
1386, 20.467
1387, 20.150
1388, 19.850
1389, 19.983
1390, 20.350
1391, 20.517
1392, 20.233
1393, 19.850
1394, 19.850
1395, 20.300
1396, 20.533
1397, 20.300
1398, 19.950
1399, 19.817
1400, 20.083
1401, 20.417
1402, 20.417
1403, 20.133
1404, 19.800
1405, 20.050
1406, 20.367
1407, 20.450
1408, 20.233
1409, 19.867
1410, 19.867
1411, 20.350
1412, 20.533
1413, 20.250
1414, 19.950
1415, 19.833
1416, 20.317
1417, 20.500
1418, 20.267
1419, 19.950
1420, 19.867
1421, 20.267
1422, 20.550
1423, 20.367
1424, 20.000
1425, 19.750
1426, 20.100
1427, 20.467
1428, 20.450
1429, 20.133
1430, 19.833
1431, 20.067
1432, 20.500
1433, 20.467
1434, 20.117
1435, 19.800
1436, 19.900
1437, 20.333
1438, 20.433
1439, 20.233
