Time [s],T_amb_DB [°C],T_amb_WB [°C],RH [%],Power [W],Tank Temp #1 [°C],Tank Temp #2 [°C],Tank Temp #3 [°C],Tank Temp #4 [°C],Tank Temp #5 [°C],Tank Temp #6 [°C],T_water_in [°C],T_water_out [°C],Flow Rate [GPM]
10,9.9,5.7,57.5,1.7,51.2,51.6,51.6,51.4,50.4,44.2,9.8,20.6,2.9
20,9.9,5.7,57.5,1.6,50.1,51.6,51.6,51.4,50.4,46.1,9.7,51.2,3.0
30,9.9,5.7,57.8,1.7,49.9,51.6,51.6,51.4,50.1,42.3,9.8,51.5,3.0
40,9.9,5.7,57.5,1.6,50.2,51.6,51.6,51.3,50.0,39.6,9.8,51.6,3.0
50,10.0,5.8,57.4,1.7,50.0,51.5,51.6,51.3,50.1,38.1,9.8,51.6,3.0
60,10.0,5.8,57.6,1.6,50.1,51.5,51.5,51.2,50.0,36.5,9.7,51.6,3.0
70,10.0,5.8,57.7,1.7,50.1,51.5,51.5,51.3,49.3,35.8,9.8,51.6,3.0
80,10.1,5.9,57.6,1.6,50.3,51.5,51.5,51.3,49.6,34.0,9.8,51.6,3.0
90,10.1,5.9,57.9,1.7,50.0,51.5,51.5,51.3,49.1,34.0,9.8,51.6,3.0
100,10.0,5.8,57.7,1.6,50.3,51.5,51.4,50.5,49.1,32.5,9.8,51.6,3.0
110,10.0,5.8,57.8,1.7,50.4,51.5,51.4,51.1,48.9,32.2,9.8,51.6,3.0
120,10.0,5.8,57.6,1.6,49.9,51.5,51.4,50.9,46.7,30.9,9.8,51.6,3.0
130,10.0,5.8,57.8,1.7,50.2,51.4,51.4,50.8,45.3,30.1,9.8,51.6,3.0
140,10.0,5.8,57.8,1.6,50.1,51.4,51.4,51.0,43.0,29.4,9.7,51.6,3.0
150,10.0,5.8,57.7,1.8,50.3,51.4,51.4,51.0,41.0,28.8,9.8,51.6,3.0
160,10.1,5.9,57.8,1.6,50.1,51.3,51.2,50.6,36.5,28.0,9.8,51.6,3.0
170,10.0,5.9,58.0,1.8,49.6,51.3,51.1,50.7,33.2,27.1,9.8,51.6,3.0
180,10.0,5.8,57.8,1.6,50.2,51.3,51.1,50.7,32.7,27.3,9.8,51.6,3.0
190,10.0,5.8,57.7,1.7,50.1,51.2,51.1,50.6,30.6,27.2,9.8,51.6,3.0
200,10.0,5.8,58.0,1.6,50.2,51.2,51.1,50.6,29.7,26.7,9.8,51.5,3.0
210,10.0,5.9,58.0,1.7,50.6,51.2,51.1,50.2,28.1,25.4,9.8,51.5,3.0
220,10.1,5.9,57.9,1.7,50.0,51.2,51.0,50.3,28.4,25.9,9.7,51.5,3.0
230,10.0,5.8,57.9,1.7,50.1,51.2,51.1,50.2,28.4,25.2,9.8,51.5,3.0
240,10.0,5.9,58.2,1.7,50.0,51.2,50.9,50.1,27.1,24.6,9.8,51.5,3.0
250,10.0,5.9,58.1,7.6,50.1,51.2,50.9,50.1,26.3,24.3,9.7,51.4,3.0
260,10.1,6.0,58.2,37.5,50.0,51.2,50.8,50.0,25.3,23.7,9.8,51.4,3.0
270,10.1,5.9,58.0,27.5,50.2,51.2,50.9,49.5,25.0,23.2,9.8,51.4,3.0
280,10.1,5.9,57.8,27.5,50.1,51.1,50.8,49.6,24.9,22.7,9.7,51.3,3.0
290,10.1,6.0,58.3,22.1,50.0,51.0,50.7,49.5,24.1,22.8,9.7,51.3,3.0
300,10.2,6.0,58.0,264.4,49.9,51.0,50.7,49.4,24.1,21.5,9.7,51.3,3.0
310,10.0,5.9,58.0,362.8,50.0,51.0,50.7,49.2,23.0,21.7,9.8,51.3,3.0
