"minutes","test","model","flow","inputPower","outputPower","tcouples1","tcouples2","tcouples3","tcouples4","tcouples5","tcouples6","aveTankTemp","type"
41,"DOE_24hr0","Sanden80",0,0,0,78.37034,148.6328,148.6328,148.6328,148.6328,148.6328,136.92239,"Simulated"
42,"DOE_24hr0","Sanden80",0,0,0,78.36152,148.62416,148.62416,148.62416,148.62416,148.62416,136.91372,"Simulated"
43,"DOE_24hr0","Sanden80",0,0,0,78.35288,148.61552,148.61552,148.61552,148.61552,148.61552,136.90508,"Simulated"
44,"DOE_24hr0","Sanden80",0,0,0,78.34424,148.60688,148.60688,148.60688,148.60688,148.60688,136.89644,"Simulated"
45,"DOE_24hr0","Sanden80",0,0,0,78.3356,148.59806,148.59806,148.59806,148.59806,148.59806,136.88765,"Simulated"
46,"DOE_24hr0","Sanden80",0,0,0,78.32678,148.58942,148.58942,148.58942,148.58942,148.58942,136.87898,"Simulated"
47,"DOE_24hr0","Sanden80",0,0,0,78.31814,148.58078,148.58078,148.58078,148.58078,148.58078,136.87034,"Simulated"
48,"DOE_24hr0","Sanden80",0,0,0,78.3095,148.57214,148.57214,148.57214,148.57214,148.57214,136.8617,"Simulated"
49,"DOE_24hr0","Sanden80",0,0,0,78.30086,148.56332,148.56332,148.56332,148.56332,148.56332,136.85291,"Simulated"
50,"DOE_24hr0","Sanden80",0,0,0,78.29222,148.55468,148.55468,148.55468,148.55468,148.55468,136.84427,"Simulated"
51,"DOE_24hr0","Sanden80",0,0,0,78.2834,148.54604,148.54604,148.54604,148.54604,148.54604,136.8356,"Simulated"
52,"DOE_24hr0","Sanden80",0,0,0,78.27476,148.5374,148.5374,148.5374,148.5374,148.5374,136.82696,"Simulated"
53,"DOE_24hr0","Sanden80",0,0,0,78.26612,148.52876,148.52876,148.52876,148.52876,148.52876,136.81832,"Simulated"
54,"DOE_24hr0","Sanden80",0,0,0,78.25748,148.51994,148.51994,148.51994,148.51994,148.51994,136.80953,"Simulated"
55,"DOE_24hr0","Sanden80",0,0,0,78.24866,148.5113,148.5113,148.5113,148.5113,148.5113,136.80086,"Simulated"
56,"DOE_24hr0","Sanden80",0,0,0,78.24002,148.50266,148.50266,148.50266,148.50266,148.50266,136.79222,"Simulated"
57,"DOE_24hr0","Sanden80",0,0,0,78.23138,148.49402,148.49402,148.49402,148.49402,148.49402,136.78358,"Simulated"
58,"DOE_24hr0","Sanden80",0,0,0,78.22274,148.48538,148.48538,148.48538,148.48538,148.48538,136.77494,"Simulated"
59,"DOE_24hr0","Sanden80",0,0,0,78.2141,148.47656,148.47656,148.47656,148.47656,148.47656,136.76615,"Simulated"
60,"DOE_24hr0","Sanden80",0,0,0,78.20528,148.46792,148.46792,148.46792,148.46792,148.46792,136.75748,"Simulated"
61,"DOE_24hr0","Sanden80",2.35,0,0,63.13622,148.17488,148.45946,148.45946,148.45946,148.45946,134.19149,"Simulated"
62,"DOE_24hr0","Sanden80",3,0,0,57.59438,134.11202,148.45118,148.45118,148.45118,148.45118,130.91852,"Simulated"
63,"DOE_24hr0","Sanden80",3,0,0,57.70112,114.4031,148.44308,148.44308,148.44308,148.44308,127.64609,"Simulated"
64,"DOE_24hr0","Sanden80",2.35,0,0,57.7832,98.96414,148.43516,148.43516,148.43516,148.43516,125.08133,"Simulated"
65,"DOE_24hr0","Sanden80",0,0,0,57.77528,98.95622,148.42724,148.42724,148.42724,148.42724,125.07341,"Simulated"
66,"DOE_24hr0","Sanden80",0,0,0,57.76736,98.9483,148.41932,148.41932,148.41932,148.41932,125.06549,"Simulated"
67,"DOE_24hr0","Sanden80",0,0,0,57.75944,98.94038,148.41122,148.41122,148.41122,148.41122,125.05745,"Simulated"
68,"DOE_24hr0","Sanden80",0,0,0,57.75152,98.93246,148.4033,148.4033,148.4033,148.4033,125.04953,"Simulated"
69,"DOE_24hr0","Sanden80",0,0,0,57.7436,98.92454,148.39538,148.39538,148.39538,148.39538,125.04161,"Simulated"
70,"DOE_24hr0","Sanden80",0,0,0,57.7355,98.91662,148.38746,148.38746,148.38746,148.38746,125.03366,"Simulated"
71,"DOE_24hr0","Sanden80",0,0,0,57.72758,98.9087,148.37954,148.37954,148.37954,148.37954,125.02574,"Simulated"
72,"DOE_24hr0","Sanden80",0,0,0,57.71966,98.90078,148.37162,148.37162,148.37162,148.37162,125.01782,"Simulated"
73,"DOE_24hr0","Sanden80",0,0,0,57.71174,98.89286,148.3637,148.3637,148.3637,148.3637,125.0099,"Simulated"
74,"DOE_24hr0","Sanden80",0,0,0,57.70382,98.88494,148.35578,148.35578,148.35578,148.35578,125.00198,"Simulated"
75,"DOE_24hr0","Sanden80",0,0,0,57.6959,98.87702,148.34786,148.34786,148.34786,148.34786,124.99406,"Simulated"
76,"DOE_24hr0","Sanden80",0,0,0,57.68798,98.8691,148.33994,148.33994,148.33994,148.33994,124.98614,"Simulated"
77,"DOE_24hr0","Sanden80",0,0,0,57.68006,98.86118,148.33202,148.33202,148.33202,148.33202,124.97822,"Simulated"
78,"DOE_24hr0","Sanden80",0,0,0,57.67214,98.85308,148.3241,148.3241,148.3241,148.3241,124.97027,"Simulated"
79,"DOE_24hr0","Sanden80",0,0,0,57.66422,98.84516,148.31618,148.31618,148.31618,148.31618,124.96235,"Simulated"
80,"DOE_24hr0","Sanden80",0,0,0,57.6563,98.83724,148.30826,148.30826,148.30826,148.30826,124.95443,"Simulated"
81,"DOE_24hr0","Sanden80",0,0,0,57.64838,98.82932,148.30034,148.30034,148.30034,148.30034,124.94651,"Simulated"
82,"DOE_24hr0","Sanden80",0,0,0,57.64046,98.8214,148.29242,148.29242,148.29242,148.29242,124.93859,"Simulated"
83,"DOE_24hr0","Sanden80",0,0,0,57.63254,98.81348,148.2845,148.2845,148.2845,148.2845,124.93067,"Simulated"
84,"DOE_24hr0","Sanden80",0,0,0,57.62462,98.80556,148.27658,148.27658,148.27658,148.27658,124.92275,"Simulated"
85,"DOE_24hr0","Sanden80",0,0,0,57.6167,98.79764,148.26866,148.26866,148.26866,148.26866,124.91483,"Simulated"
86,"DOE_24hr0","Sanden80",0,0,0,57.60878,98.78972,148.26074,148.26074,148.26074,148.26074,124.90691,"Simulated"
87,"DOE_24hr0","Sanden80",0,0,0,57.60086,98.7818,148.25282,148.25282,148.25282,148.25282,124.89899,"Simulated"
88,"DOE_24hr0","Sanden80",0,0,0,57.59294,98.77388,148.2449,148.2449,148.2449,148.2449,124.89107,"Simulated"
89,"DOE_24hr0","Sanden80",0,0,0,57.58502,98.76596,148.23698,148.23698,148.23698,148.23698,124.88315,"Simulated"
