minutes,Ta,Tsetpoint,inletT,draw,DRstatus,h_src1In (Wh),h_src1Out (Wh),tcouple1 (C),tcouple2 (C),tcouple3 (C),tcouple4 (C),tcouple5 (C),tcouple6 (C),toutlet (C)
770,19.548978,50,14.44,0,0,0,0,45.6,45.6,45.6,45.6,45.6,45.6,
771,19.63335,50,14.44,0.416167,0,0,0,45.38,45.38,45.38,45.38,45.38,45.38,42.27
772,19.555622,50,14.44,0.564915,0,0,0,45.09,45.09,45.09,45.09,45.09,45.09,42
773,19.570622,50,14.44,0,0,0,0,45.09,45.09,45.09,45.09,45.09,45.09,
774,19.654489,50,14.44,0,0,0,0,45.08,45.08,45.08,45.08,45.08,45.08,
775,19.758839,50,14.44,0,0,0,0,45.08,45.08,45.08,45.08,45.08,45.08,
776,19.691989,50,14.44,0,0,0,0,45.07,45.07,45.07,45.07,45.07,45.07,
777,19.558139,50,14.44,0,0,0,0,45.07,45.07,45.07,45.07,45.07,45.07,
778,19.507228,50,14.44,0,0,0,0,45.06,45.06,45.06,45.06,45.06,45.06,
779,19.57615,50,14.44,0,0,0,0,45.06,45.06,45.06,45.06,45.06,45.06,
780,19.614528,50,14.44,0,0,0,0,45.05,45.05,45.05,45.05,45.05,45.05,
781,19.642039,50,14.44,0,0,0,0,45.05,45.05,45.05,45.05,45.05,45.05,
782,19.64385,50,14.44,0,0,0,0,45.04,45.04,45.04,45.04,45.04,45.04,
783,19.632761,50,14.44,0,0,0,0,45.04,45.04,45.04,45.04,45.04,45.04,
784,19.631883,50,14.44,0,0,0,0,45.03,45.03,45.03,45.03,45.03,45.03,
785,19.65555,50,14.44,0,0,0,0,45.03,45.03,45.03,45.03,45.03,45.03,
786,19.5882,50,14.44,0,0,0,0,45.02,45.02,45.02,45.02,45.02,45.02,
787,19.5617,50,14.44,0,0,0,0,45.01,45.01,45.01,45.01,45.01,45.01,
788,19.636372,50,14.44,0,0,0,0,45.01,45.01,45.01,45.01,45.01,45.01,
789,19.701989,50,14.44,0,0,0,0,45,45,45,45,45,45,
790,19.734817,50,14.44,0,0,0,0,45,45,45,45,45,45,
791,19.692239,50,14.44,0,0,0,0,44.99,44.99,44.99,44.99,44.99,44.99,
792,19.560361,50,14.44,0,0,0,0,44.99,44.99,44.99,44.99,44.99,44.99,
793,19.585739,50,14.44,0,0,0,0,44.98,44.98,44.98,44.98,44.98,44.98,
794,19.644328,50,14.44,0,0,0,0,44.98,44.98,44.98,44.98,44.98,44.98,
795,19.602428,50,14.44,0,0,0,0,44.97,44.97,44.97,44.97,44.97,44.97,
796,19.589889,50,14.44,0,0,0,0,44.97,44.97,44.97,44.97,44.97,44.97,
797,19.659333,50,14.44,0,0,0,0,44.96,44.96,44.96,44.96,44.96,44.96,
798,19.616833,50,14.44,0,0,0,0,44.96,44.96,44.96,44.96,44.96,44.96,
799,19.612211,50,14.44,0,0,0,0,44.95,44.95,44.95,44.95,44.95,44.95,
800,19.614478,50,14.44,0,0,0,0,44.95,44.95,44.95,44.95,44.95,44.95,
801,19.595711,50,14.44,0,0,0,0,44.94,44.94,44.94,44.94,44.94,44.94,
802,19.63345,50,14.44,0,0,0,0,44.94,44.94,44.94,44.94,44.94,44.94,
803,19.6304,50,14.44,0,0,0,0,44.93,44.93,44.93,44.93,44.93,44.93,
804,19.6026,50,14.44,0,0,0,0,44.93,44.93,44.93,44.93,44.93,44.93,
805,19.598483,50,14.44,0,0,0,0,44.92,44.92,44.92,44.92,44.92,44.92,
806,19.594717,50,14.44,0,0,0,0,44.92,44.92,44.92,44.92,44.92,44.92,
807,19.62915,50,14.44,0,0,0,0,44.91,44.91,44.91,44.91,44.91,44.91,
808,19.584322,50,14.44,0,0,0,0,44.91,44.91,44.91,44.91,44.91,44.91,
809,19.599122,50,14.44,0,0,0,0,44.9,44.9,44.9,44.9,44.9,44.9,
810,19.680911,50,14.44,0,0,0,0,44.9,44.9,44.9,44.9,44.9,44.9,
811,19.6425,50,14.44,0,0,0,0,44.89,44.89,44.89,44.89,44.89,44.89,
812,19.609261,50,14.44,0,0,0,0,44.89,44.89,44.89,44.89,44.89,44.89,
813,19.641389,50,14.44,0,0,0,0,44.88,44.88,44.88,44.88,44.88,44.88,
814,19.5975,50,14.44,0,0,0,0,44.88,44.88,44.88,44.88,44.88,44.88,
815,19.6188,50,14.44,0,0,0,0,44.87,44.87,44.87,44.87,44.87,44.87,
816,19.664822,50,14.44,0,0,0,0,44.87,44.87,44.87,44.87,44.87,44.87,
817,19.713828,50,14.44,0,0,0,0,44.86,44.86,44.86,44.86,44.86,44.86,
818,19.734211,50,14.44,0,0,0,0,44.86,44.86,44.86,44.86,44.86,44.86,
819,19.6893,50,14.44,0,0,0,0,44.85,44.85,44.85,44.85,44.85,44.85,
820,19.657633,50,14.44,0,0,0,0,44.85,44.85,44.85,44.85,44.85,44.85,
821,19.660567,50,14.44,0,0,0,0,44.84,44.84,44.84,44.84,44.84,44.84,
822,19.664478,50,14.44,0,0,0,0,44.84,44.84,44.84,44.84,44.84,44.84,
823,19.663378,50,14.44,0,0,0,0,44.83,44.83,44.83,44.83,44.83,44.83,
824,19.6754,50,14.44,0,0,0,0,44.83,44.83,44.83,44.83,44.83,44.83,
825,19.6797,50,14.44,0,0,0,0,44.82,44.82,44.82,44.82,44.82,44.82,
826,19.623311,50,14.44,0,0,0,0,44.82,44.82,44.82,44.82,44.82,44.82,
827,19.6767,50,14.44,0,0,0,0,44.81,44.81,44.81,44.81,44.81,44.81,
828,19.67195,50,14.44,0,0,0,0,44.81,44.81,44.81,44.81,44.81,44.81,
829,19.644367,50,14.44,0,0,0,0,44.8,44.8,44.8,44.8,44.8,44.8,
830,19.682239,50,14.44,0,0,0,0,44.8,44.8,44.8,44.8,44.8,44.8,
831,19.615611,50,14.44,0,0,0,0,44.79,44.79,44.79,44.79,44.79,44.79,
832,19.601383,50,14.44,0,0,0,0,44.79,44.79,44.79,44.79,44.79,44.79,
833,19.604722,50,14.44,0,0,0,0,44.78,44.78,44.78,44.78,44.78,44.78,
834,19.674911,50,14.44,0,0,0,0,44.78,44.78,44.78,44.78,44.78,44.78,
835,19.680189,50,14.44,0,0,0,0,44.77,44.77,44.77,44.77,44.77,44.77,
836,19.611278,50,14.44,0,0,0,0,44.77,44.77,44.77,44.77,44.77,44.77,
837,19.596861,50,14.44,0,0,0,0,44.76,44.76,44.76,44.76,44.76,44.76,
838,19.591889,50,14.44,0,0,0,0,44.76,44.76,44.76,44.76,44.76,44.76,
839,19.641272,50,14.44,0,0,0,0,44.75,44.75,44.75,44.75,44.75,44.75,
840,19.683233,50,14.44,0,0,0,0,44.75,44.75,44.75,44.75,44.75,44.75,
841,19.630489,50,14.44,0,0,0,0,44.74,44.74,44.74,44.74,44.74,44.74,
842,19.61555,50,14.44,0,0,0,0,44.74,44.74,44.74,44.74,44.74,44.74,
843,19.579061,50,14.44,0,0,0,0,44.73,44.73,44.73,44.73,44.73,44.73,
844,19.582217,50,14.44,0,0,0,0,44.73,44.73,44.73,44.73,44.73,44.73,
845,19.553122,50,14.44,0,0,0,0,44.72,44.72,44.72,44.72,44.72,44.72,
846,19.571544,50,14.44,0,0,0,0,44.72,44.72,44.72,44.72,44.72,44.72,
847,19.538011,50,14.44,0,0,0,0,44.71,44.71,44.71,44.71,44.71,44.71,
848,19.5732,50,14.44,0,0,0,0,44.7,44.7,44.7,44.7,44.7,44.7,
849,19.601961,50,14.44,0,0,0,0,44.7,44.7,44.7,44.7,44.7,44.7,
850,19.572167,50,14.44,0,0,0,0,44.69,44.69,44.69,44.69,44.69,44.69,
851,19.571722,50,14.44,0,0,0,0,44.69,44.69,44.69,44.69,44.69,44.69,
852,19.593439,50,14.44,0,0,0,0,44.68,44.68,44.68,44.68,44.68,44.68,
853,19.609461,50,14.44,0,0,0,0,44.68,44.68,44.68,44.68,44.68,44.68,
854,19.587739,50,14.44,0,0,0,0,44.67,44.67,44.67,44.67,44.67,44.67,
855,19.587839,50,14.44,0,0,0,0,44.67,44.67,44.67,44.67,44.67,44.67,
856,19.602189,50,14.44,0,0,0,0,44.66,44.66,44.66,44.66,44.66,44.66,
857,19.62125,50,14.44,0,0,0,0,44.66,44.66,44.66,44.66,44.66,44.66,
858,19.64605,50,14.44,0,0,0,0,44.65,44.65,44.65,44.65,44.65,44.65,
859,19.692289,50,14.44,0,0,0,0,44.65,44.65,44.65,44.65,44.65,44.65,
860,19.731411,50,14.44,0,0,0,0,44.64,44.64,44.64,44.64,44.64,44.64,
861,19.709761,50,14.44,0,0,0,0,44.64,44.64,44.64,44.64,44.64,44.64,
862,19.573678,50,14.44,0,0,0,0,44.63,44.63,44.63,44.63,44.63,44.63,
863,19.526761,50,14.44,0,0,0,0,44.63,44.63,44.63,44.63,44.63,44.63,
864,19.529167,50,14.44,0,0,0,0,44.62,44.62,44.62,44.62,44.62,44.62,
865,19.567389,50,14.44,0,0,0,0,44.62,44.62,44.62,44.62,44.62,44.62,
866,19.582128,50,14.44,0,0,0,0,44.61,44.61,44.61,44.61,44.61,44.61,
867,19.573778,50,14.44,0,0,0,0,44.61,44.61,44.61,44.61,44.61,44.61,
868,19.598528,50,14.44,0,0,0,0,44.6,44.6,44.6,44.6,44.6,44.6,
869,19.630228,50,14.44,0,0,0,0,44.6,44.6,44.6,44.6,44.6,44.6,
870,19.599861,50,14.44,0,0,0,0,44.59,44.59,44.59,44.59,44.59,44.59,
871,19.570378,50,14.44,0,0,0,0,44.59,44.59,44.59,44.59,44.59,44.59,
872,19.5744,50,14.44,0,0,0,0,44.58,44.58,44.58,44.58,44.58,44.58,
873,19.600578,50,14.44,0,0,0,0,44.58,44.58,44.58,44.58,44.58,44.58,
874,19.627872,50,14.44,0,0,0,0,44.57,44.57,44.57,44.57,44.57,44.57,
875,19.619478,50,14.44,0,0,0,0,44.57,44.57,44.57,44.57,44.57,44.57,
876,19.623967,50,14.44,0,0,0,0,44.56,44.56,44.56,44.56,44.56,44.56,
877,19.611061,50,14.44,0,0,0,0,44.56,44.56,44.56,44.56,44.56,44.56,
878,19.627211,50,14.44,0,0,0,0,44.55,44.55,44.55,44.55,44.55,44.55,
879,19.6493,50,14.44,0,0,0,0,44.55,44.55,44.55,44.55,44.55,44.55,
880,19.621122,50,14.44,0,0,0,0,44.54,44.54,44.54,44.54,44.54,44.54,
881,19.637939,50,14.44,0,0,0,0,44.54,44.54,44.54,44.54,44.54,44.54,
882,19.641211,50,14.44,0,0,0,0,44.53,44.53,44.53,44.53,44.53,44.53,
883,19.647589,50,14.44,0,0,0,0,44.53,44.53,44.53,44.53,44.53,44.53,
884,19.620767,50,14.44,0,0,0,0,44.52,44.52,44.52,44.52,44.52,44.52,
885,19.630889,50,14.44,0,0,0,0,44.52,44.52,44.52,44.52,44.52,44.52,
886,19.641939,50,14.44,0,0,0,0,44.51,44.51,44.51,44.51,44.51,44.51,
887,19.627,50,14.44,0,0,0,0,44.51,44.51,44.51,44.51,44.51,44.51,
888,19.641622,50,14.44,0,0,0,0,44.5,44.5,44.5,44.5,44.5,44.5,
889,19.635783,50,14.44,0,0,0,0,44.5,44.5,44.5,44.5,44.5,44.5,
890,19.600578,50,14.44,0,0,0,0,44.49,44.49,44.49,44.49,44.49,44.49,
891,19.607228,50,14.44,0,0,0,0,44.49,44.49,44.49,44.49,44.49,44.49,
892,19.626878,50,14.44,0,0,0,0,44.48,44.48,44.48,44.48,44.48,44.48,
893,19.623739,50,14.44,0,0,0,0,44.48,44.48,44.48,44.48,44.48,44.48,
894,19.643889,50,14.44,0,0,0,0,44.47,44.47,44.47,44.47,44.47,44.47,
895,19.646861,50,14.44,0,0,0,0,44.47,44.47,44.47,44.47,44.47,44.47,
896,19.649533,50,14.44,0,0,0,0,44.46,44.46,44.46,44.46,44.46,44.46,
897,19.644611,50,14.44,0,0,0,0,44.46,44.46,44.46,44.46,44.46,44.46,
898,19.655939,50,14.44,0,0,0,0,44.45,44.45,44.45,44.45,44.45,44.45,
899,19.6172,50,14.44,0,0,0,0,44.45,44.45,44.45,44.45,44.45,44.45,
900,19.628011,50,14.44,0,0,0,0,44.44,44.44,44.44,44.44,44.44,44.44,
901,19.637561,50,14.44,0,0,0,0,44.44,44.44,44.44,44.44,44.44,44.44,
902,19.59765,50,14.44,0,0,0,0,44.43,44.43,44.43,44.43,44.43,44.43,
903,19.544489,50,14.44,0,0,0,0,44.43,44.43,44.43,44.43,44.43,44.43,
904,19.546728,50,14.44,0,0,0,0,44.42,44.42,44.42,44.42,44.42,44.42,
905,19.53795,50,14.44,0,0,0,0,44.42,44.42,44.42,44.42,44.42,44.42,
906,19.622861,50,14.44,0,0,0,0,44.41,44.41,44.41,44.41,44.41,44.41,
907,19.682022,50,14.44,0,0,0,0,44.41,44.41,44.41,44.41,44.41,44.41,
908,19.6351,50,14.44,0,0,0,0,44.4,44.4,44.4,44.4,44.4,44.4,
909,19.616367,50,14.44,0,0,0,0,44.4,44.4,44.4,44.4,44.4,44.4,
910,19.598667,50,14.44,0,0,0,0,44.39,44.39,44.39,44.39,44.39,44.39,
911,19.594578,50,14.44,0,0,0,0,44.39,44.39,44.39,44.39,44.39,44.39,
912,19.646089,50,14.44,0,0,0,0,44.38,44.38,44.38,44.38,44.38,44.38,
913,19.631939,50,14.44,0,0,0,0,44.38,44.38,44.38,44.38,44.38,44.38,
914,19.624239,50,14.44,0,0,0,0,44.37,44.37,44.37,44.37,44.37,44.37,
915,19.607789,50,14.44,0,0,0,0,44.37,44.37,44.37,44.37,44.37,44.37,
916,19.6089,50,14.44,0,0,0,0,44.36,44.36,44.36,44.36,44.36,44.36,
917,19.666561,50,14.44,0,0,0,0,44.36,44.36,44.36,44.36,44.36,44.36,
918,19.607311,50,14.44,0,0,0,0,44.35,44.35,44.35,44.35,44.35,44.35,
919,19.58395,50,14.44,0,0,0,0,44.35,44.35,44.35,44.35,44.35,44.35,
920,19.5801,50,14.44,0,0,0,0,44.34,44.34,44.34,44.34,44.34,44.34,
921,19.592989,50,14.44,0,0,0,0,44.34,44.34,44.34,44.34,44.34,44.34,
922,19.629683,50,14.44,0,0,0,0,44.33,44.33,44.33,44.33,44.33,44.33,
923,19.579111,50,14.44,0,0,0,0,44.33,44.33,44.33,44.33,44.33,44.33,
924,19.53845,50,14.44,0,0,0,0,44.32,44.32,44.32,44.32,44.32,44.32,
925,19.561011,50,14.44,0,0,0,0,44.32,44.32,44.32,44.32,44.32,44.32,
926,19.580422,50,14.44,0,0,0,0,44.31,44.31,44.31,44.31,44.31,44.31,
927,19.554528,50,14.44,0,0,0,0,44.31,44.31,44.31,44.31,44.31,44.31,
928,19.599417,50,14.44,0,0,0,0,44.3,44.3,44.3,44.3,44.3,44.3,
929,19.547511,50,14.44,0,0,0,0,44.3,44.3,44.3,44.3,44.3,44.3,
930,19.552989,50,14.44,0,0,0,0,44.29,44.29,44.29,44.29,44.29,44.29,
931,19.581267,50,14.44,0,0,0,0,44.29,44.29,44.29,44.29,44.29,44.29,
932,19.60865,50,14.44,0,0,0,0,44.28,44.28,44.28,44.28,44.28,44.28,
933,19.706261,50,14.44,0,0,0,0,44.28,44.28,44.28,44.28,44.28,44.28,
934,19.633978,50,14.44,0,0,0,0,44.27,44.27,44.27,44.27,44.27,44.27,
935,19.593989,50,14.44,0,0,0,0,44.27,44.27,44.27,44.27,44.27,44.27,
936,19.573472,50,14.44,0,0,0,0,44.26,44.26,44.26,44.26,44.26,44.26,
937,19.591389,50,14.44,0,0,0,0,44.26,44.26,44.26,44.26,44.26,44.26,
938,19.582461,50,14.44,0,0,0,0,44.25,44.25,44.25,44.25,44.25,44.25,
939,19.558278,50,14.44,0,0,0,0,44.25,44.25,44.25,44.25,44.25,44.25,
940,19.557883,50,14.44,0,0,0,0,44.24,44.24,44.24,44.24,44.24,44.24,
941,19.5571,50,14.44,0,0,0,0,44.24,44.24,44.24,44.24,44.24,44.24,
942,19.566467,50,14.44,0,0,0,0,44.23,44.23,44.23,44.23,44.23,44.23,
943,19.568389,50,14.44,0,0,0,0,44.23,44.23,44.23,44.23,44.23,44.23,
944,19.587167,50,14.44,0,0,0,0,44.22,44.22,44.22,44.22,44.22,44.22,
945,19.557667,50,14.44,0,0,0,0,44.22,44.22,44.22,44.22,44.22,44.22,
946,19.5508,50,14.44,0,0,0,0,44.21,44.21,44.21,44.21,44.21,44.21,
947,19.567928,50,14.44,0,0,0,0,44.21,44.21,44.21,44.21,44.21,44.21,
948,19.60795,50,14.44,0,0,0,0,44.2,44.2,44.2,44.2,44.2,44.2,
949,19.638983,50,14.44,0,0,0,0,44.2,44.2,44.2,44.2,44.2,44.2,
950,19.645817,50,14.44,0,0,0,0,44.19,44.19,44.19,44.19,44.19,44.19,
951,19.649111,50,14.44,0,0,0,0,44.19,44.19,44.19,44.19,44.19,44.19,
952,19.619489,50,14.44,0,0,0,0,44.18,44.18,44.18,44.18,44.18,44.18,
953,19.584056,50,14.44,0,0,0,0,44.18,44.18,44.18,44.18,44.18,44.18,
954,19.673789,50,14.44,0,0,0,0,44.17,44.17,44.17,44.17,44.17,44.17,
955,19.737928,50,14.44,0,0,0,0,44.17,44.17,44.17,44.17,44.17,44.17,
956,19.675083,50,14.44,0,0,0,0,44.16,44.16,44.16,44.16,44.16,44.16,
957,19.6336,50,14.44,0,0,0,0,44.16,44.16,44.16,44.16,44.16,44.16,
958,19.593511,50,14.44,0,0,0,0,44.16,44.16,44.16,44.16,44.16,44.16,
959,19.66735,50,14.44,0,0,0,0,44.15,44.15,44.15,44.15,44.15,44.15,
960,19.6932,50,14.44,0,0,0,0,44.15,44.15,44.15,44.15,44.15,44.15,
961,19.654772,50,14.44,0.430462,0,0,0,43.93,43.93,43.93,43.93,43.93,43.93,40.96
962,19.636689,50,14.44,0.997138,0,57.1,142.83,44.05,44.05,44.05,44.05,44.05,44.05,40.5
963,19.654878,50,14.44,0.512453,0,57.59,145.08,44.4,44.4,44.4,44.4,44.4,44.4,40.84
964,19.640572,50,14.44,0,0,58.43,148.72,45.02,45.02,45.02,45.02,45.02,45.02,
965,19.645811,50,14.44,0,0,59.3,152.64,45.66,45.66,45.66,45.66,45.66,45.66,
966,19.639683,50,14.44,0,0,60.19,156.62,46.31,46.31,46.31,46.31,46.31,46.31,
967,19.633639,50,14.44,0,0,61.1,160.77,46.98,46.98,46.98,46.98,46.98,46.98,
968,19.651489,50,14.44,0,0,62.04,165.27,47.67,47.67,47.67,47.67,47.67,47.67,
969,19.633089,50,14.44,0,0,63,169.67,48.38,48.38,48.38,48.38,48.38,48.38,
970,19.6467,50,14.44,0,0,64,174.51,49.11,49.11,49.11,49.11,49.11,49.11,
971,19.685072,50,14.44,0,0,65.03,179.77,49.86,49.86,49.86,49.86,49.86,49.86,
972,19.64815,50,14.44,0,0,12.55,35.08,50,50,50,50,50,50,
973,19.610989,50,14.44,0,0,0,0,49.99,49.99,49.99,49.99,49.99,49.99,
974,19.63495,50,14.44,0,0,0,0,49.99,49.99,49.99,49.99,49.99,49.99,
975,19.63505,50,14.44,0,0,0,0,49.98,49.98,49.98,49.98,49.98,49.98,
976,19.654128,50,14.44,0.404235,0,0,0,49.74,49.74,49.74,49.74,49.74,49.74,46.19
977,19.66585,50,14.44,0.961193,0,0,0,49.18,49.18,49.18,49.18,49.18,49.18,45.66
978,19.68385,50,14.44,0.602205,0,0,0,48.83,48.83,48.83,48.83,48.83,48.83,45.37
979,19.653961,50,14.44,0,0,0,0,48.83,48.83,48.83,48.83,48.83,48.83,
980,19.6352,50,14.44,0,0,0,0,48.82,48.82,48.82,48.82,48.82,48.82,
981,19.718317,50,14.44,0,0,0,0,48.82,48.82,48.82,48.82,48.82,48.82,
982,19.690767,50,14.44,0,0,0,0,48.81,48.81,48.81,48.81,48.81,48.81,
983,19.720972,50,14.44,0,0,0,0,48.8,48.8,48.8,48.8,48.8,48.8,
984,19.738106,50,14.44,0,0,0,0,48.8,48.8,48.8,48.8,48.8,48.8,
985,19.702661,50,14.44,0,0,0,0,48.79,48.79,48.79,48.79,48.79,48.79,
986,19.713139,50,14.44,0,0,0,0,48.79,48.79,48.79,48.79,48.79,48.79,
987,19.68615,50,14.44,0,0,0,0,48.78,48.78,48.78,48.78,48.78,48.78,
988,19.728561,50,14.44,0,0,0,0,48.78,48.78,48.78,48.78,48.78,48.78,
989,19.69325,50,14.44,0,0,0,0,48.77,48.77,48.77,48.77,48.77,48.77,
990,19.718067,50,14.44,0,0,0,0,48.76,48.76,48.76,48.76,48.76,48.76,
991,19.680089,50,14.44,0.723262,0,0,0,48.35,48.35,48.35,48.35,48.35,48.35,44.93
992,19.671078,50,14.44,1.23663,0,0,0,47.67,47.67,47.67,47.67,47.67,47.67,44.28
993,19.674089,50,14.44,0,0,0,0,47.66,47.66,47.66,47.66,47.66,47.66,
994,19.699078,50,14.44,0,0,0,0,47.66,47.66,47.66,47.66,47.66,47.66,
995,19.757383,50,14.44,0,0,0,0,47.65,47.65,47.65,47.65,47.65,47.65,
996,19.728861,50,14.44,0,0,0,0,47.65,47.65,47.65,47.65,47.65,47.65,
997,19.727228,50,14.44,0,0,0,0,47.64,47.64,47.64,47.64,47.64,47.64,
998,19.69275,50,14.44,0,0,0,0,47.63,47.63,47.63,47.63,47.63,47.63,
999,19.650628,50,14.44,0,0,0,0,47.63,47.63,47.63,47.63,47.63,47.63,
1000,19.696322,50,14.44,0,0,0,0,47.62,47.62,47.62,47.62,47.62,47.62,
1001,19.752322,50,14.44,0,0,0,0,47.62,47.62,47.62,47.62,47.62,47.62,
1002,19.770167,50,14.44,0,0,0,0,47.61,47.61,47.61,47.61,47.61,47.61,
1003,19.776656,50,14.44,0,0,0,0,47.61,47.61,47.61,47.61,47.61,47.61,
1004,19.744817,50,14.44,0,0,0,0,47.6,47.6,47.6,47.6,47.6,47.6,
1005,19.713028,50,14.44,0,0,0,0,47.6,47.6,47.6,47.6,47.6,47.6,
1006,19.705139,50,14.44,0.671088,0,0,0,47.23,47.23,47.23,47.23,47.23,47.23,43.92
1007,19.69225,50,14.44,1.251957,0,0,0,46.56,46.56,46.56,46.56,46.56,46.56,43.28
1008,19.7368,50,14.44,0,0,0,0,46.55,46.55,46.55,46.55,46.55,46.55,
1009,19.740939,50,14.44,0,0,0,0,46.55,46.55,46.55,46.55,46.55,46.55,
1010,19.69865,50,14.44,0,0,0,0,46.54,46.54,46.54,46.54,46.54,46.54,
1011,19.655961,50,14.44,0,0,0,0,46.54,46.54,46.54,46.54,46.54,46.54,
1012,19.66915,50,14.44,0,0,0,0,46.53,46.53,46.53,46.53,46.53,46.53,
1013,19.74665,50,14.44,0,0,0,0,46.52,46.52,46.52,46.52,46.52,46.52,
1014,19.780011,50,14.44,0,0,0,0,46.52,46.52,46.52,46.52,46.52,46.52,
1015,19.681983,50,14.44,0,0,0,0,46.51,46.51,46.51,46.51,46.51,46.51,
1016,19.691139,50,14.44,0,0,0,0,46.51,46.51,46.51,46.51,46.51,46.51,
1017,19.727828,50,14.44,0,0,0,0,46.5,46.5,46.5,46.5,46.5,46.5,
1018,19.6836,50,14.44,0,0,0,0,46.5,46.5,46.5,46.5,46.5,46.5,
1019,19.683839,50,14.44,0,0,0,0,46.49,46.49,46.49,46.49,46.49,46.49,
1020,19.6652,50,14.44,0,0,0,0,46.49,46.49,46.49,46.49,46.49,46.49,
1021,19.613,50,14.44,1.123675,0,0,0,45.9,45.9,45.9,45.9,45.9,45.9,42.7
1022,19.56625,50,14.44,2.932602,0,0,0,44.44,44.44,44.44,44.44,44.44,44.44,41.3
1023,19.573633,50,14.44,3.016118,0,56.48,139.81,43.61,43.61,43.61,43.61,43.61,43.61,40.03
1024,19.582322,50,14.44,3.007683,0,55.38,135.13,42.8,42.8,42.8,42.8,42.8,42.8,39.32
1025,19.602022,50,14.44,3.011581,0,54.3,130.7,42,42,42,42,42,42,38.62
1026,19.622828,50,14.44,0.802313,0,54.56,131.91,42.19,42.19,42.19,42.19,42.19,42.19,38.89
1027,19.651011,50,14.44,0,0,55.34,135.34,42.76,42.76,42.76,42.76,42.76,42.76,
1028,19.675522,50,14.44,0,0,56.14,138.88,43.34,43.34,43.34,43.34,43.34,43.34,
1029,19.629089,50,14.44,0,0,56.93,142.07,43.93,43.93,43.93,43.93,43.93,43.93,
1030,19.625217,50,14.44,0,0,57.76,145.66,44.54,44.54,44.54,44.54,44.54,44.54,
1031,19.633272,50,14.44,0,0,58.61,149.48,45.16,45.16,45.16,45.16,45.16,45.16,
1032,19.623578,50,14.44,0,0,59.48,153.32,45.8,45.8,45.8,45.8,45.8,45.8,
1033,19.613711,50,14.44,0,0,60.37,157.31,46.45,46.45,46.45,46.45,46.45,46.45,
1034,19.648567,50,14.44,0,0,61.3,161.79,47.13,47.13,47.13,47.13,47.13,47.13,
1035,19.639861,50,14.44,0,0,62.24,166.13,47.82,47.82,47.82,47.82,47.82,47.82,
1036,19.67075,50,14.44,0,0,63.22,170.96,48.53,48.53,48.53,48.53,48.53,48.53,
1037,19.729972,50,14.44,0,0,64.24,176.24,49.27,49.27,49.27,49.27,49.27,49.27,
1038,19.69995,50,14.44,0,0,63.14,175.14,50,50,50,50,50,50,
1039,19.6979,50,14.44,0,0,0,0,49.99,49.99,49.99,49.99,49.99,49.99,
1040,19.6941,50,14.44,0,0,0,0,49.99,49.99,49.99,49.99,49.99,49.99,
1041,19.691461,50,14.44,0,0,0,0,49.98,49.98,49.98,49.98,49.98,49.98,
1042,19.704489,50,14.44,0,0,0,0,49.98,49.98,49.98,49.98,49.98,49.98,
1043,19.679161,50,14.44,0,0,0,0,49.97,49.97,49.97,49.97,49.97,49.97,
1044,19.678083,50,14.44,0,0,0,0,49.96,49.96,49.96,49.96,49.96,49.96,
1045,19.70095,50,14.44,0,0,0,0,49.96,49.96,49.96,49.96,49.96,49.96,
1046,19.682489,50,14.44,0,0,0,0,49.95,49.95,49.95,49.95,49.95,49.95,
1047,19.6623,50,14.44,0,0,0,0,49.95,49.95,49.95,49.95,49.95,49.95,
1048,19.66805,50,14.44,0,0,0,0,49.94,49.94,49.94,49.94,49.94,49.94,
1049,19.68125,50,14.44,0,0,0,0,49.93,49.93,49.93,49.93,49.93,49.93,
1050,19.687589,50,14.44,0,0,0,0,49.93,49.93,49.93,49.93,49.93,49.93,
1051,19.600072,50,14.44,0,0,0,0,49.92,49.92,49.92,49.92,49.92,49.92,
1052,19.567639,50,14.44,0,0,0,0,49.91,49.91,49.91,49.91,49.91,49.91,
1053,19.625983,50,14.44,0,0,0,0,49.91,49.91,49.91,49.91,49.91,49.91,
1054,19.635,50,14.44,0,0,0,0,49.9,49.9,49.9,49.9,49.9,49.9,
1055,19.73115,50,14.44,0,0,0,0,49.9,49.9,49.9,49.9,49.9,49.9,
1056,19.713822,50,14.44,0,0,0,0,49.89,49.89,49.89,49.89,49.89,49.89,
1057,19.626461,50,14.44,0,0,0,0,49.88,49.88,49.88,49.88,49.88,49.88,
1058,19.655128,50,14.44,0,0,0,0,49.88,49.88,49.88,49.88,49.88,49.88,
1059,19.67835,50,14.44,0,0,0,0,49.87,49.87,49.87,49.87,49.87,49.87,
1060,19.66795,50,14.44,0,0,0,0,49.87,49.87,49.87,49.87,49.87,49.87,
1061,19.673611,50,14.44,0,0,0,0,49.86,49.86,49.86,49.86,49.86,49.86,
1062,19.685478,50,14.44,0,0,0,0,49.85,49.85,49.85,49.85,49.85,49.85,
1063,19.692333,50,14.44,0,0,0,0,49.85,49.85,49.85,49.85,49.85,49.85,
1064,19.690833,50,14.44,0,0,0,0,49.84,49.84,49.84,49.84,49.84,49.84,
1065,19.695322,50,14.44,0,0,0,0,49.84,49.84,49.84,49.84,49.84,49.84,
1066,19.708128,50,14.44,0,0,0,0,49.83,49.83,49.83,49.83,49.83,49.83,
