time,T+AF8-In+AF8-water,T+AF8-Out+AF8-water,T+AF8-Evap+AF8-In,T+AF8-Evap+AF8-Sat,T+AF8-Evap+AF8-Out,T+AF8-out+AF8-air,Power+AF8-W,flow+AF8-out+AF8-gpm,T+AF8-Tank+AF8-02,T+AF8-Tank+AF8-04,T+AF8-Tank+AF8-06,T+AF8-Tank+AF8-08,T+AF8-Tank+AF8-10,T+AF8-Tank+AF8-12,Power+AF8-res+AF8-kW,Power+AF8-comp+AF8-kW,T+AF8-Plenum+AF8-In,RH+AF8-In,minutes,hours,Power+AF8-kW,T+AF8-Tank+AF8-ave,T+AF8-Tank+AF8-COP,flow+AF8-out+AF8-gal,flow+AF8-out+AF8-tot,sumM+AF8-Outlet,dEin,E+AF8-in+AF8-tot,dT+AF8-Tank+AF8-ave,dEout,COP,minutes5,dEin5min,T+AF8-Tank+AF8-ave+AF8-5min,dT+AF8-Tank+AF8-ave+AF8-5min,dEadd5min,COP5min,Cap5min,Input5min
17may2013 19:44:00,,,24.940926,24.236759,24.606157,33.705741,1,0,60.471481,62.780648,63.45912,63.799676,64.151204,64.905278,,,35.1,44,1,0,0.001,63.26123,63.26123,0,0,0,0.06,34.85954,0.0300217,39.13424,,0,,,,,,,
17may2013 19:45:00,,,25.665833,24.856991,24.764491,34.338657,1,0,60.512176,62.796528,63.454167,63.797083,64.155972,64.919352,,,35.1,45,2,0,0.001,63.27254,63.27254,0,0,0,0.06,34.91953,0.0113106,14.74371,,0,,,,,,,
17may2013 19:46:00,,,26.293148,25.316852,25.346157,34.630324,1,0,60.526991,62.806944,63.458241,63.801759,64.154444,64.890417,,,35.1,46,3,0,0.001,63.27313,63.27313,0,0,0,0.06,34.97953,0.0005875,0.7657779,,0,,,,,,,
17may2013 19:47:00,,,26.412963,25.555417,25.625787,34.574907,1,0,60.505046,62.790231,63.440463,63.784861,64.146991,64.835,,,34.8,45,4,0,0.001,63.25043,63.25043,0,0,0,0.06,35.03954,+AC0-0.0227013,+AC0-29.59185,,0,,,,,,,
17may2013 19:48:00,,,26.289167,25.528935,25.840741,34.555046,1,0,60.497407,62.779491,63.439167,63.785602,64.149259,64.829444,,,34.6,45,5,0,0.001,63.24673,63.24673,0,0,0,0.06,35.09953,+AC0-0.0037041,+AC0-4.828379,,1,,,,,,,
17may2013 19:49:00,,,26.096574,25.388889,26.060787,34.657685,1,0,60.453194,62.745694,63.410185,63.739491,64.121806,64.803426,,,34.7,44,6,0,0.001,63.2123,63.2123,0,0,0,0.06,35.15953,+AC0-0.0344276,+AC0-44.87757,,1,,,,,,,
17may2013 19:50:00,,,25.98287,25.213333,26.478981,34.896343,1,0,60.431435,62.708704,63.378565,63.726435,64.108333,64.779028,,,34.7,43,7,0,0.001,63.18875,63.18875,0,0,0,0.06,35.21953,+AC0-0.0235481,+AC0-30.69576,,1,,,,,,,
17may2013 19:51:00,,,26.431713,25.315556,26.882824,35.060926,1,0,60.385231,62.696528,63.365046,63.723194,64.088611,64.760231,,,34.7,42,8,0,0.001,63.16981,63.16981,0,0,0,0.06,35.27953,+AC0-0.0189438,+AC0-24.69385,,1,,,,,,,
17may2013 19:52:00,,,26.691667,25.294306,27.34662,35.260648,1,0,60.415926,62.705417,63.380972,63.713889,64.096944,64.763796,,,34.7,42,9,0,0.001,63.17949,63.17949,0,0,0,0.06,35.33953,0.0096817,12.62042,,1,,,,,,,
17may2013 19:53:00,,,27.207639,25.506528,27.902778,35.462361,1,0,60.402963,62.686389,63.361898,63.715,64.089444,64.76125,,,34.8,41,10,0,0.001,63.16949,63.16949,0,0,0,0.06,35.39953,+AC0-0.0099983,+AC0-13.03314,,2,,,,,,,
17may2013 19:54:00,,,27.890787,25.723194,28.366713,35.646713,1,0,60.384491,62.687454,63.359213,63.70162,64.083935,64.752361,,,34.8,40,11,0,0.001,63.16151,63.16151,0,0,0,0.06,35.45953,+AC0-0.0079803,+AC0-10.40265,,2,,,,,,,
17may2013 19:55:00,,,28.642269,26.11912,28.88088,35.728981,1,0,60.396759,62.693657,63.364028,63.708796,64.087037,64.752315,,,34.7,40,12,0,0.001,63.1671,63.1671,0,0,0,0.06,35.51954,0.0055885,7.284835,,2,,,,,,,
17may2013 19:56:00,,,29.138241,26.486528,29.389213,35.878426,1,0,60.381435,62.67287,63.356759,63.701852,64.07787,64.74338,,,34.8,40,13,0,0.001,63.15569,63.15569,0,0,0,0.06,35.57953,+AC0-0.0114059,+AC0-14.86803,,2,,,,,,,
17may2013 19:57:00,,,29.571944,26.899028,29.622685,36.01912,1,0,60.37125,62.682315,63.358796,63.696111,64.080833,64.738889,,,34.8,39,14,0,0.001,63.1547,63.1547,0,0,0,0.06,35.63953,+AC0-0.0009956,+AC0-1.297844,,2,,,,,,,
17may2013 19:58:00,,,30.301204,27.411435,29.806852,36.073796,1,0,60.382546,62.672222,63.349491,63.704398,64.07713,64.731343,,,34.8,39,15,0,0.001,63.15285,63.15285,0,0,0,0.06,35.69954,+AC0-0.0018425,+AC0-2.401758,,3,,,,,,,
17may2013 19:59:00,,,31.046574,27.949444,30.227593,36.13838,1,0,60.3625,62.670093,63.351111,63.700231,64.074074,64.731204,,,34.8,38,16,0,0.001,63.1482,63.1482,0,0,0,0.06,35.75953,+AC0-0.0046539,+AC0-6.066552,,3,,,,,,,
17may2013 20:00:00,,,31.578565,28.595787,30.943148,36.256019,1,0,60.366435,62.668102,63.344491,63.699444,64.070602,64.729398,,,34.9,37,17,0,0.001,63.14641,63.14641,0,0,0,0.06,35.81953,+AC0-0.0017891,+AC0-2.332142,,3,,,,,,,
17may2013 20:01:00,,,32.097454,29.243981,31.157407,36.368287,1,0,60.370787,62.669907,63.347454,63.694491,64.069074,64.724028,,,35.1,36,18,0,0.001,63.14596,63.14596,0,0,0,0.06,35.87954,+AC0-0.0004539,+AC0-0.5917374,,3,,,,,,,
17may2013 20:02:00,,,32.677037,29.948102,31.881481,36.522222,1,0,60.360602,62.660093,63.346574,63.687963,64.074028,64.71838,,,35.2,36,19,0,0.001,63.14127,63.14127,0,0,0,0.06,35.93953,+AC0-0.0046844,+AC0-6.106333,,3,,,,,,,
17may2013 20:03:00,,,33.207639,30.708056,32.285926,36.631481,1,0,60.357685,62.661296,63.343472,63.692824,64.065741,64.715787,,,35.3,37,20,0,0.001,63.13947,63.13947,0,0,0,0.06,35.99953,+AC0-0.0018044,+AC0-2.352032,,4,,,,,,,
17may2013 20:04:00,,,33.726296,31.524583,32.568426,36.721157,1,0,60.354259,62.65625,63.341111,63.689213,64.057315,64.70412,,,35.4,39,21,0,0.001,63.13371,63.13371,0,0,0,0.06,36.05953,+AC0-0.0057564,+AC0-7.503629,,4,,,,,,,
17may2013 20:05:00,,,34.187454,32.243241,32.785602,36.705463,1,0,60.349861,62.659167,63.33625,63.690093,64.063935,64.704769,,,35.4,40,22,0,0.001,63.13401,63.13401,0,0,0,0.06,36.11953,0.0003014,0.3928341,,4,,,,,,,
17may2013 20:06:00,,,34.546481,32.787963,32.90375,36.59625,1,0,60.346435,62.657407,63.343102,63.689306,64.054352,64.705,,,35.4,41,23,0,0.001,63.1326,63.1326,0,0,0,0.06,36.17953,+AC0-0.0014153,+AC0-1.844829,,4,,,,,,,
17may2013 20:07:00,,,34.769259,33.219583,33.020741,36.448796,1,0,60.341759,62.65412,63.336343,63.679815,64.059074,64.698333,,,35.3,41,24,0,0.001,63.12824,63.12824,0,0,0,0.06,36.23953,+AC0-0.0043564,+AC0-5.67869,,4,,,,,,,
17may2013 20:08:00,,,34.88213,33.550231,33.041944,36.272963,1,0,60.34,62.648704,63.334028,63.67875,64.050833,64.691157,,,35.1,41,25,0,0.001,63.12391,63.12391,0,0,0,0.06,36.29953,+AC0-0.0043297,+AC0-5.643883,,5,,,,,,,
17may2013 20:09:00,,,34.961806,33.815694,33.095694,36.176667,1,0,60.332315,62.639676,63.330139,63.675741,64.049306,64.689722,,,35.1,41,26,0,0.001,63.11948,63.11948,0,0,0,0.06,36.35954,+AC0-0.0044289,+AC0-5.77317,,5,,,,,,,
17may2013 20:10:00,,,35.026111,34.029722,33.103565,36.135648,1,0,60.317176,62.631806,63.321343,63.666852,64.045926,64.680741,,,35,40,27,0,0.001,63.11064,63.11064,0,0,0,0.06,36.41953,+AC0-0.0088425,+AC0-11.52645,,5,,,,,,,
17may2013 20:11:00,,,35.119954,34.271991,33.11912,36.105602,1,0,60.318009,62.63787,63.32963,63.674583,64.045602,64.677963,,,35,40,28,0,0.001,63.11394,63.11394,0,0,0,0.06,36.47953,0.0032997,4.301285,,5,,,,,,,
17may2013 20:12:00,,,35.2,34.464815,33.16338,36.083148,1,0,60.337361,62.647824,63.334306,63.682083,64.05088,64.684676,,,35,40,29,0,0.001,63.12286,63.12286,0,0,0,0.06,36.53954,0.0089149,11.62093,,5,,,,,,,
17may2013 20:13:00,,,35.320694,34.627315,33.23963,36.155185,1,0,60.325741,62.64412,63.334167,63.680741,64.047824,64.680509,,,35,39,30,0,0.001,63.11885,63.11885,0,0,0,0.06,36.59953,+AC0-0.0040054,+AC0-5.221213,,6,,,,,,,
17may2013 20:14:00,,,35.445231,34.804676,33.308102,36.178333,1,0,60.366852,62.68037,63.368472,63.710231,64.070139,64.697037,,,35,39,31,0,0.001,63.14885,63.14885,0,0,0,0.06,36.65953,0.0299988,39.1044,,6,,,,,,,
17may2013 20:15:00,,,35.561111,34.964676,33.374074,36.165509,1,0,60.380926,62.684861,63.374954,63.719167,64.07963,64.700972,,,35,40,32,0,0.001,63.15675,63.15675,0,0,0,0.06,36.71953,0.0079002,10.29822,,6,,,,,,,
17may2013 20:16:00,,,35.724398,35.13287,33.428287,36.20787,1,0,60.376435,62.690139,63.372454,63.713843,64.076574,64.698287,,,35.1,39,33,0,0.001,63.15462,63.15462,0,0,0,0.06,36.77953,+AC0-0.0021286,+AC0-2.774702,,6,,,,,,,
17may2013 20:17:00,,,35.880602,35.349954,33.5,36.258472,1,0,60.374259,62.693287,63.370139,63.719444,64.08,64.690741,,,35.3,39,34,0,0.001,63.15464,63.15464,0,0,0,0.06,36.83953,0.0000229,0.0298355,,6,,,,,,,
17may2013 20:18:00,,,35.993472,35.510926,33.555278,36.257037,1,0,60.36662,62.67912,63.376806,63.715926,64.070648,64.695278,,,35.4,39,35,0,0.001,63.15073,63.15073,0,0,0,0.06,36.89953,+AC0-0.0039101,+AC0-5.096899,,7,,,,,,,
17may2013 20:19:00,,,36.071296,35.576481,33.568796,36.115972,1,0,60.363426,62.67338,63.361991,63.707407,64.063148,64.681713,,,35.4,40,36,0,0.001,63.14185,63.14185,0,0,0,0.06,36.95953,+AC0-0.0088882,+AC0-11.58612,,7,,,,,,,
17may2013 20:20:00,,,36.054861,35.586343,33.579676,35.927824,1,0,60.354213,62.664907,63.359213,63.702269,64.062315,64.678009,,,35.3,40,37,0,0.001,63.13682,63.13682,0,0,0,0.06,37.01954,+AC0-0.005024,+AC0-6.548893,,7,,,,,,,
17may2013 20:21:00,,,35.981759,35.493241,33.514213,35.728009,1,0,60.345231,62.665139,63.353704,63.698009,64.056435,64.666944,,,35.3,40,38,0,0.001,63.13091,63.13091,0,0,0,0.06,37.07953,+AC0-0.0059128,+AC0-7.707505,,7,,,,,,,
17may2013 20:22:00,,,35.844352,35.40037,33.478565,35.554676,1,0,60.342037,62.659398,63.351481,63.695046,64.053889,64.661806,,,35.2,40,39,0,0.001,63.12728,63.12728,0,0,0,0.06,37.13953,+AC0-0.0036316,+AC0-4.7339,,7,,,,,,,
17may2013 20:23:00,,,35.664306,35.257778,33.366204,35.298426,1,0,60.332454,62.65088,63.347593,63.693981,64.042824,64.654259,,,35.1,40,40,0,0.001,63.12033,63.12033,0,0,0,0.06,37.19954,+AC0-0.0069466,+AC0-9.055075,,8,,,,,,,
17may2013 20:24:00,,,35.593102,35.27412,33.28588,35.231435,1,0,60.318981,62.647731,63.341667,63.683935,64.039861,64.64412,,,35.1,40,41,0,0.001,63.11272,63.11272,0,0,0,0.06,37.25953,+AC0-0.0076141,+AC0-9.925277,,8,,,,,,,
17may2013 20:25:00,,,35.514306,35.224769,33.23037,35.155093,1,0,60.313426,62.642315,63.344213,63.684583,64.041296,64.646435,,,35.1,40,42,0,0.001,63.11205,63.11205,0,0,0,0.06,37.31953,+AC0-0.0006714,+AC0-0.8751748,,8,,,,,,,
17may2013 20:26:00,,,35.453843,35.151481,33.160741,35.030741,1,0,60.306157,62.637963,63.334861,63.677685,64.040833,64.640926,,,35,40,43,0,0.001,63.1064,63.1064,0,0,0,0.06,37.37954,+AC0-0.0056419,+AC0-7.354451,,8,,,,,,,
17may2013 20:27:00,,,35.393565,35.084306,33.083426,34.953472,1,0,60.300741,62.639444,63.323426,63.674167,64.031852,64.632222,,,35,40,44,0,0.001,63.10031,63.10031,0,0,0,0.06,37.43953,+AC0-0.0060959,+AC0-7.946189,,8,,,,,,,
17may2013 20:28:00,,,35.343009,35.017731,33.028611,34.908981,1,0,60.291944,62.629028,63.329074,63.671065,64.029954,64.624074,,,34.9,40,45,0,0.001,63.09586,63.09586,0,0,0,0.06,37.49953,+AC0-0.0044518,+AC0-5.803005,,9,,,,,,,
17may2013 20:29:00,,,35.318194,35.013472,33.018843,34.913981,1,0,60.289444,62.628287,63.324213,63.666898,64.026991,64.617176,,,35,40,46,0,0.001,63.09217,63.09217,0,0,0,0.06,37.55953,+AC0-0.0036888,+AC0-4.808488,,9,,,,,,,
17may2013 20:30:00,,,35.306898,34.994722,33.036667,34.917176,1,0,60.275741,62.6225,63.323148,63.663889,64.022083,64.619213,,,35,40,47,0,0.001,63.08776,63.08776,0,0,0,0.06,37.61953,+AC0-0.004406,+AC0-5.743334,,9,,,,,,,
17may2013 20:31:00,,,35.29537,35.004444,33.022546,34.882824,1,0,60.27125,62.617269,63.319722,63.663843,64.016019,64.618241,,,34.9,40,48,0,0.001,63.08439,63.08439,0,0,0,0.06,37.67953,+AC0-0.0033722,+AC0-4.395764,,9,,,,,,,
17may2013 20:32:00,,,35.2725,34.973611,33.022083,34.904954,1,0,60.267685,62.619074,63.310694,63.659954,64.011898,64.603935,,,35,40,49,0,0.001,63.07887,63.07887,0,0,0,0.06,37.73953,+AC0-0.0055161,+AC0-7.190356,,9,,,,,,,
17may2013 20:33:00,,,35.29,34.97125,33.019491,34.915463,1,0,60.253704,62.612269,63.308148,63.655556,64.005648,64.599306,,,35,40,50,0,0.001,63.07244,63.07244,0,0,0,0.06,37.79953,+AC0-0.0064354,+AC0-8.388749,,10,,,,,,,
17may2013 20:34:00,,,35.322269,35.009444,33.054537,34.932685,1,0,60.245741,62.598194,63.307593,63.646019,64.003519,64.595694,,,35,40,51,0,0.001,63.06613,63.06613,0,0,0,0.06,37.85954,+AC0-0.0063095,+AC0-8.224653,,10,,,,,,,
17may2013 20:35:00,,,35.345926,35.029537,33.086111,34.927593,1,0,60.228056,62.592176,63.298333,63.637685,63.998843,64.586111,,,35,40,52,0,0.001,63.05687,63.05687,0,0,0,0.06,37.91953,+AC0-0.0092621,+AC0-12.07343,,10,,,,,,,
17may2013 20:36:00,,,35.345278,35.075741,33.096944,34.910787,1,0,60.219167,62.588519,63.289676,63.633611,63.989861,64.58213,,,35,40,53,0,0.001,63.0505,63.0505,0,0,0,0.06,37.97953,+AC0-0.0063705,+AC0-8.304214,,10,,,,,,,
17may2013 20:37:00,,,35.343889,35.098843,33.133519,34.904306,1,0,60.208935,62.588704,63.288241,63.629676,63.982361,64.574398,,,35,40,54,0,0.001,63.04539,63.04539,0,0,0,0.06,38.03954,+AC0-0.0051079,+AC0-6.658289,,10,,,,,,,
17may2013 20:38:00,,,35.326574,35.08338,33.172824,34.931435,1,0,60.202222,62.5775,63.275787,63.619352,63.976481,64.565231,,,35,40,55,0,0.001,63.03609,63.03609,0,0,0,0.06,38.09953,+AC0-0.0092926,+AC0-12.11321,,11,,,,,,,
17may2013 20:39:00,,,35.33912,35.099861,33.214815,34.922917,1,0,60.191019,62.570324,63.2725,63.618102,63.975278,64.560926,,,35,40,56,0,0.001,63.03136,63.03136,0,0,0,0.06,38.15953,+AC0-0.0047379,+AC0-6.175949,,11,,,,,,,
17may2013 20:40:00,,,35.351481,35.09588,33.265694,34.919583,1,0,60.181435,62.563657,63.267593,63.614676,63.967454,64.559444,,,35,40,57,0,0.001,63.02571,63.02571,0,0,0,0.06,38.21953,+AC0-0.0056458,+AC0-7.359424,,11,,,,,,,
17may2013 20:41:00,,,35.338472,35.121759,33.385185,34.916574,1,0,60.201991,62.584769,63.290463,63.628472,63.985972,64.561852,,,35,40,58,0,0.001,63.04225,63.04225,0,0,0,0.06,38.27953,0.0165405,21.56112,,11,,,,,,,
17may2013 20:42:00,,,35.361296,35.120694,33.528426,34.906065,1,0,60.238704,62.617546,63.319954,63.652639,64.00338,64.579583,,,35,40,59,0,0.001,63.06863,63.06863,0,0,0,0.06,38.33953,0.0263824,34.39039,,11,,,,,,,
17may2013 20:43:00,,,35.359074,35.116944,33.687407,34.919444,1,0,60.251343,62.63088,63.334259,63.665741,64.016343,64.583426,,,35,40,60,1,0.001,63.08033,63.08033,0,0,0,0.06,38.39953,0.0116959,15.24594,,12,,,,,,,
17may2013 20:44:00,,,35.367963,35.154074,33.757963,34.963056,1,0,60.214444,62.61412,63.31162,63.652778,64.005741,64.577269,,,35,40,61,1,0.001,63.06266,63.06266,0,0,0,0.06,38.45953,+AC0-0.0176697,+AC0-23.03301,,12,,,,,,,
17may2013 20:45:00,,,35.394444,35.180926,33.817222,34.99875,1,0,60.182824,62.590926,63.303519,63.637269,63.997917,64.571481,,,35,40,62,1,0.001,63.04732,63.04732,0,0,0,0.06,38.51954,+AC0-0.0153389,+AC0-19.99476,,12,,,,,,,
17may2013 20:46:00,,,35.375463,35.193426,33.828981,34.94625,1,0,60.165185,62.580093,63.283519,63.629444,63.984444,64.559167,,,35,40,63,1,0.001,63.03364,63.03364,0,0,0,0.06,38.57953,+AC0-0.0136795,+AC0-17.83169,,12,,,,,,,
17may2013 20:47:00,,,35.369213,35.177083,33.862593,34.952639,1,0,60.15037,62.569028,63.278009,63.619954,63.978981,64.557546,,,35,40,64,1,0.001,63.02565,63.02565,0,0,0,0.06,38.63953,+AC0-0.0079918,+AC0-10.41756,,12,,,,,,,
17may2013 20:48:00,,,35.337778,35.187963,33.911574,34.955417,1,0,60.14,62.565926,63.276713,63.614676,63.972176,64.551759,,,35,40,65,1,0.001,63.02021,63.02021,0,0,0,0.06,38.69954,+AC0-0.0054436,+AC0-7.095877,,13,,,,,,,
17may2013 20:49:00,,,35.325741,35.196435,33.949954,34.934352,1,0,60.128472,62.553889,63.273148,63.611898,63.969167,64.541435,,,35,40,66,1,0.001,63.013,63.013,0,0,0,0.06,38.75953,+AC0-0.007206,+AC0-9.39321,,13,,,,,,,
17may2013 20:50:00,,,35.346991,35.169306,33.969213,34.929537,1,0,60.115185,62.547731,63.263657,63.603056,63.962917,64.534213,,,35,40,67,1,0.001,63.00446,63.00446,0,0,0,0.06,38.81953,+AC0-0.0085411,+AC0-11.13362,,13,,,,,,,
17may2013 20:51:00,,,35.327407,35.156898,34,34.924583,1,0,60.10588,62.547269,63.258009,63.606806,63.961991,64.529861,,,35,40,68,1,0.001,63.00164,63.00164,0,0,0,0.06,38.87953,+AC0-0.0028229,+AC0-3.679712,,13,,,,,,,
17may2013 20:52:00,,,35.331389,35.183935,34.024352,34.931389,1,0,60.099352,62.542963,63.258333,63.605648,63.960139,64.52838,,,35,40,69,1,0.001,62.99913,62.99913,0,0,0,0.06,38.93953,+AC0-0.0025024,+AC0-3.262015,,13,,,,,,,
17may2013 20:53:00,,,35.328148,35.186157,34.051204,34.95537,1,0,60.087963,62.544167,63.256296,63.595278,63.956111,64.525417,,,35,40,70,1,0.001,62.99421,62.99421,0,0,0,0.06,38.99953,+AC0-0.0049286,+AC0-6.424578,,14,,,,,,,
17may2013 20:54:00,,,35.334213,35.185046,34.064861,34.943472,1,0,60.082454,62.529676,63.249259,63.586991,63.948704,64.514861,,,35,40,71,1,0.001,62.98532,62.98532,0,0,0,0.06,39.05953,+AC0-0.0088806,+AC0-11.57617,,14,,,,,,,
17may2013 20:55:00,,,35.360741,35.177639,34.08287,34.977222,1,0,60.072269,62.532731,63.245833,63.591852,63.940833,64.510278,,,35,40,72,1,0.001,62.9823,62.9823,0,0,0,0.06,39.11953,+AC0-0.0030251,+AC0-3.943259,,14,,,,,,,
17may2013 20:56:00,,,35.351343,35.196574,34.104444,34.946852,1,0,60.062778,62.526435,63.245046,63.586204,63.941991,64.502546,,,35,40,73,1,0.001,62.9775,62.9775,0,0,0,0.06,39.17953,+AC0-0.0047989,+AC0-6.25551,,14,,,,,,,
17may2013 20:57:00,,,35.335602,35.188148,34.120046,34.94375,1,0,60.050648,62.518009,63.236759,63.583148,63.932222,64.494954,,,35,40,74,1,0.001,62.96929,62.96929,0,0,0,0.06,39.23953,+AC0-0.0082092,+AC0-10.701,,14,,,,,,,
17may2013 20:58:00,,,35.348657,35.190417,34.116759,34.916111,1,0,60.034259,62.513565,63.231204,63.570833,63.929769,64.492546,,,35,40,75,1,0.001,62.96203,62.96203,0,0,0,0.06,39.29953,+AC0-0.0072632,+AC0-9.467799,,15,,,,,,,
17may2013 20:59:00,,,35.334213,35.169537,34.115648,34.902824,1,0,60.026991,62.504537,63.224537,63.57213,63.926667,64.485417,,,35,40,76,1,0.001,62.95671,62.95671,0,0,0,0.06,39.35954,+AC0-0.0053139,+AC0-6.926809,,15,,,,,,,
17may2013 21:00:00,,,35.306065,35.164213,34.114213,34.88,1,0,60.0125,62.496019,63.224954,63.566343,63.920046,64.480093,,,35,40,77,1,0.001,62.94999,62.94999,0,0,0,0.06,39.41953,+AC0-0.0067215,+AC0-8.761693,,15,,,,,,,
17may2013 21:01:00,,,35.308796,35.156944,34.112315,34.877917,1,0,59.999259,62.489907,63.210231,63.564815,63.915,64.472454,,,35,40,78,1,0.001,62.94194,62.94194,0,0,0,0.06,39.47953,+AC0-0.008049,+AC0-10.49215,,15,,,,,,,
17may2013 21:02:00,,,35.287546,35.180185,34.123241,34.901019,1,0,59.985185,62.489676,63.209444,63.555417,63.913333,64.472269,,,35,40,79,1,0.001,62.93755,62.93755,0,0,0,0.06,39.53954,+AC0-0.0043907,+AC0-5.723444,,15,,,,,,,
17may2013 21:03:00,,,35.293102,35.160833,34.141157,34.903241,1,0,59.976389,62.485324,63.203241,63.554167,63.904213,64.456991,,,35,40,80,1,0.001,62.93005,62.93005,0,0,0,0.06,39.59953,+AC0-0.0074997,+AC0-9.7761,,16,,,,,,,
17may2013 21:04:00,,,35.272639,35.167546,34.153241,34.892824,1,0,59.96875,62.473009,63.205139,63.545139,63.903657,64.449167,,,35,40,81,1,0.001,62.92414,62.92414,0,0,0,0.06,39.65953,+AC0-0.005909,+AC0-7.702532,,16,,,,,,,
17may2013 21:05:00,,,35.307037,35.18,34.179815,34.940694,1,0,59.961528,62.47875,63.202917,63.545231,63.896806,64.455324,,,35.1,40,82,1,0.001,62.92343,62.92343,0,0,0,0.06,39.71953,+AC0-0.0007172,+AC0-0.9348457,,16,,,,,,,
17may2013 21:06:00,,,35.317176,35.18875,34.199861,34.92588,1,0,59.946667,62.469074,63.20125,63.540231,63.899954,64.447778,,,35,40,83,1,0.001,62.91749,62.91749,0,0,0,0.06,39.77953,+AC0-0.0059357,+AC0-7.73734,,16,,,,,,,
17may2013 21:07:00,,,35.304167,35.213009,34.212685,34.943565,1,0,59.934722,62.471296,63.186991,63.537546,63.8925,64.445185,,,35.1,40,84,1,0.001,62.91137,62.91137,0,0,0,0.06,39.83953,+AC0-0.0061188,+AC0-7.976024,,16,,,,,,,
17may2013 21:08:00,,,35.326574,35.217685,34.221389,34.947593,1,0,59.928657,62.464537,63.190787,63.537222,63.883704,64.438241,,,35,40,85,1,0.001,62.90719,62.90719,0,0,0,0.06,39.89953,+AC0-0.0041809,+AC0-5.449952,,17,,,,,,,
17may2013 21:09:00,,,35.307176,35.231481,34.231204,34.901204,1,0,59.915926,62.462083,63.188657,63.529722,63.882269,64.429167,,,35,40,86,1,0.001,62.9013,62.9013,0,0,0,0.06,39.95953,+AC0-0.0058899,+AC0-7.67767,,17,,,,,,,
17may2013 21:10:00,,,35.302546,35.216019,34.233889,34.902778,1,0,59.910509,62.45963,63.179213,63.524815,63.869259,64.425833,,,35,40,87,1,0.001,62.89488,62.89488,0,0,0,0.06,40.01954,+AC0-0.006424,+AC0-8.373831,,17,,,,,,,
17may2013 21:11:00,,,35.291574,35.191528,34.220417,34.882037,1,0,59.898519,62.454907,63.179537,63.525139,63.882407,64.422083,,,35,40,88,1,0.001,62.89376,62.89376,0,0,0,0.06,40.07953,+AC0-0.0011139,+AC0-1.451994,,17,,,,,,,
17may2013 21:12:00,,,35.277639,35.209352,34.231528,34.929907,1,0,59.885,62.448657,63.17338,63.518889,63.871111,64.417824,,,35,40,89,1,0.001,62.88581,62.88581,0,0,0,0.06,40.13953,+AC0-0.0079536,+AC0-10.36784,,17,,,,,,,
17may2013 21:13:00,,,35.287685,35.202824,34.240185,34.911991,1,0,59.87412,62.44588,63.175139,63.516204,63.862685,64.415231,,,35,40,90,1,0.001,62.88154,62.88154,0,0,0,0.06,40.19954,+AC0-0.0042686,+AC0-5.564321,,18,,,,,,,
17may2013 21:14:00,,,35.293704,35.223519,34.270139,34.944213,1,0,59.866111,62.441898,63.16963,63.513426,63.861389,64.408611,,,35.1,40,91,1,0.001,62.87684,62.87684,0,0,0,0.06,40.25953,+AC0-0.0046997,+AC0-6.126223,,18,,,,,,,
17may2013 21:15:00,,,35.298843,35.242407,34.281204,34.915139,1,0,59.852963,62.436667,63.164306,63.510602,63.861667,64.404352,,,35,40,92,1,0.001,62.87176,62.87176,0,0,0,0.06,40.31953,+AC0-0.005085,+AC0-6.628454,,18,,,,,,,
17may2013 21:16:00,,,35.300509,35.213611,34.289676,34.908657,1,0,59.844306,62.431481,63.165046,63.503935,63.854676,64.393611,,,35,40,93,1,0.001,62.86551,62.86551,0,0,0,0.06,40.37953,+AC0-0.0062485,+AC0-8.145092,,18,,,,,,,
17may2013 21:17:00,,,35.273333,35.211019,34.285185,34.903102,1,0,59.828935,62.430509,63.154861,63.505694,63.854074,64.394861,,,35,40,94,1,0.001,62.86149,62.86149,0,0,0,0.06,40.43953,+AC0-0.0040207,+AC0-5.241103,,18,,,,,,,
17may2013 21:18:00,,,35.268333,35.216713,34.289815,34.874352,1,0,59.820787,62.435787,63.158194,63.499167,63.848241,64.392407,,,35,40,95,1,0.001,62.8591,62.8591,0,0,0,0.06,40.49953,+AC0-0.0023918,+AC0-3.11781,,19,,,,,,,
17may2013 21:19:00,,,35.262407,35.200972,34.275926,34.896528,1,0,59.807963,62.419213,63.148704,63.494444,63.841667,64.392176,,,35,40,96,1,0.001,62.85069,62.85069,0,0,0,0.06,40.55953,+AC0-0.0084038,+AC0-10.9546,,19,,,,,,,
17may2013 21:20:00,,,35.260231,35.216944,34.293102,34.911852,1,0,59.787917,62.412685,63.150463,63.486157,63.840139,64.384259,,,35,40,97,1,0.001,62.84361,62.84361,0,0,0,0.06,40.61953,+AC0-0.0070877,+AC0-9.23906,,19,,,,,,,
17may2013 21:21:00,,,35.244352,35.216111,34.310093,34.880648,1,0,59.778241,62.41,63.143056,63.481343,63.835648,64.377269,,,35,40,98,1,0.001,62.83759,62.83759,0,0,0,0.06,40.67953,+AC0-0.006012,+AC0-7.836792,,19,,,,,,,
17may2013 21:22:00,,,35.251898,35.200741,34.304907,34.904537,1,0,59.774028,62.415417,63.141713,63.488472,63.835139,64.37838,,,35,40,99,1,0.001,62.83886,62.83886,0,0,0,0.06,40.73953,0.0012665,1.650898,,19,,,,,,,
